File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test,2,132,497,26486,1332,0.0951,13.8065,0.1456,0.0717
test,2,100,1548,24047,1113,0.0853,11.0829,0.1175,0.0825
test,2,107,389,11428,388,0.0182,2.433,0.0238,0.0542
test,2,147,837,38668,1907,0.1841,27.584,0.2722,0.1123
test,2,102,903,13635,426,0.0209,3.5415,0.0289,0.0539
test,2,112,929,22149,1118,0.0829,9.2455,0.1056,0.0723
test,2,103,410,14608,819,0.0486,3.8915,0.06,0.0577
test,2,122,664,23891,1193,0.0917,10.569,0.1206,0.0762
test,2,97,1869,21902,1094,0.0773,9.3521,0.1122,0.0865
test,2,109,1306,17574,512,0.0303,6.054,0.0389,0.0746
test,2,99,430,10191,310,0.014,1.9754,0.0185,0.0475
test,2,130,911,31190,1495,0.1244,18.2231,0.1848,0.103
test,2,143,1133,29206,929,0.0644,16.1905,0.0908,0.0792
test,2,99,1223,13414,407,0.02,3.5515,0.0268,0.0547
test,2,97,1080,12798,389,0.0188,3.225,0.0253,0.0533
test,2,118,1807,22430,716,0.0425,9.9588,0.0597,0.0853
test,2,143,1955,35200,1061,0.0897,24.3472,0.1278,0.0902
test,2,129,934,22015,678,0.0422,9.9431,0.0581,0.0654
test,2,103,556,12094,363,0.0261,2.9496,0.0239,0.0677
test,2,82,1043,12793,650,0.0334,3.4281,0.0451,0.0532
test,2,115,1419,29129,1436,0.1365,16.7551,0.1807,0.0863
test,2,112,1334,18772,572,0.0372,7.1115,0.06,0.045
test,2,126,588,17701,571,0.0373,7.529,0.0461,0.0626
test,2,110,807,21302,1065,0.0709,8.8612,0.1086,0.0719
test,2,125,785,19163,590,0.033,7.0712,0.0473,0.0319
test,2,123,1173,29709,1471,0.1249,17.1073,0.1832,0.1004
test,2,86,1773,16301,806,0.049,5.4906,0.0687,0.065
test,2,131,1902,29182,903,0.064,17.7571,0.0881,0.081
test,2,137,989,24501,756,0.0491,16.1068,0.0728,0.0732
test,2,93,1021,11638,375,0.0209,2.9602,0.0239,0.0632
test,2,99,1123,13958,436,0.0212,3.9941,0.0299,0.0539
test,2,98,1136,13271,398,0.0202,3.6295,0.0272,0.0515
test,2,112,769,15286,469,0.0313,4.6799,0.0326,0.0264
test,2,110,779,20728,1007,0.075,8.3004,0.101,0.0389
test,2,106,672,18437,938,0.0546,6.5491,0.0782,0.0454
test,2,117,1513,31459,1541,0.1483,19.3954,0.2121,0.0715
test,2,115,1242,19985,638,0.0359,7.953,0.0516,0.0669
test,2,85,399,7420,240,0.0106,1.1156,0.0139,0.0426
test,2,83,1754,11333,366,0.022,2.7645,0.0241,0.0622
test,2,87,1209,11088,344,0.0165,2.5161,0.0214,0.0504
test,2,142,1576,44608,2208,0.3098,39.0581,0.4519,0.1338
test,2,137,1446,28140,862,0.0619,17.2794,0.088,0.0531
test,2,136,1822,41939,2168,0.2606,45.0493,0.4017,0.1281
test,2,150,413,32063,1637,0.1259,20.985,0.1962,0.0868
test,2,120,1586,23056,700,0.049,19.6678,0.0656,0.0723
test,2,80,724,10704,523,0.0227,2.9935,0.0318,0.0614
test,2,95,1162,19083,956,0.0784,7.7764,0.1543,0.0795
test,2,137,1102,26312,809,0.1908,16.6754,0.2182,0.1643
test,2,93,1619,19388,935,0.0654,10.1284,0.0867,0.0871
test,2,141,570,22318,710,0.0395,9.7929,0.0592,0.0803
test,2,90,377,8118,258,0.0115,1.3316,0.0147,0.0433
test,2,146,1847,34242,1050,0.0854,26.634,0.1228,0.0993
test,2,120,1687,23186,652,0.0413,15.7623,0.062,0.07
test,2,104,1630,25253,1253,0.1581,15.5471,0.2442,0.1015
test,2,143,699,24332,743,0.0572,13.3744,0.0794,0.0508
test,2,88,428,10542,541,0.0347,2.7628,0.0339,0.0518
test,2,90,1146,11233,324,0.0202,2.7672,0.0332,0.0503
test,2,129,967,31079,1523,0.1338,20.4704,0.1901,0.1003
test,2,132,1762,28454,914,0.0672,16.306,0.0944,0.081
test,2,119,1638,31842,1547,0.1568,22.8616,0.2119,0.0619
