File,Gamma,DC
test0745,2,624
test1002,2,777
test1086,2,560
test1256,2,1103
test0705,2,445
test1094,2,33
test0390,2,319
test0016,2,589
test1349,2,821
test0306,2,830
test1159,2,1086
test0835,2,656
test1417,2,35
test1148,2,39
test0256,2,44
test1258,2,267
test0581,2,293
test0100,2,572
test0102,2,802
test0800,2,46
test0320,2,723
test1020,2,606
test0231,2,274
test0062,2,637
test1257,2,39
test0892,2,339
test0910,2,471
test0570,2,533
test0398,2,997
test0028,2,38
test0350,2,87
test1327,2,243
test0594,2,160
test0533,2,1066
test0343,2,602
test0807,2,300
test0895,2,40
test1026,2,121
test0022,2,20
test1265,2,40
test0050,2,356
test0198,2,618
test0383,2,159
test0658,2,482
test1221,2,49
test0816,2,459
test0317,2,29
test1385,2,161
test0098,2,46
test0130,2,489
test0507,2,699
test1431,2,467
test0870,2,201
test0604,2,442
test1435,2,453
test1161,2,1122
test1100,2,47
test0838,2,188
test0683,2,614
test1262,2,89
test0861,2,491
test0492,2,293
test0230,2,277
test0737,2,271
test1260,2,792
test0114,2,349
test0536,2,392
test0358,2,164
test1353,2,41
test0170,2,349
test1047,2,144
test0128,2,251
test0849,2,94
test0617,2,329
test0478,2,340
test1414,2,534
test1487,2,520
test1317,2,276
test0448,2,514
test0107,2,93
test0193,2,66
test0417,2,1071
test1462,2,514
test1149,2,622
test1393,2,135
test0565,2,125
test1110,2,29
test0271,2,430
test1292,2,78
test0272,2,238
test0117,2,406
test0650,2,195
test0781,2,1400
test1065,2,146
test1076,2,354
test0640,2,261
test0534,2,309
test0803,2,45
test0506,2,313
test1071,2,46
test1240,2,20
test1001,2,75
test0555,2,1094
test1270,2,595
test0508,2,947
test1441,2,463
test1139,2,595
test1318,2,885
test0063,2,19
test0980,2,864
test1323,2,777
test1035,2,613
test0470,2,254
test0637,2,11
test1040,2,109
test0755,2,799
test1189,2,537
test0476,2,36
test1478,2,865
test0583,2,289
test1436,2,974
test0134,2,41
test0460,2,37
test1362,2,207
