File,Gamma,DC
test0745,2,617
test1002,2,549
test1086,2,511
test1256,2,930
test0705,2,330
test1094,2,8
test0390,2,270
test0016,2,537
test1349,2,702
test0306,2,681
test1159,2,911
test0835,2,513
test1417,2,10
test1148,2,11
test0256,2,38
test1258,2,166
test0581,2,182
test0100,2,464
test0102,2,579
test0800,2,28
test0320,2,535
test1020,2,533
test0231,2,185
test0062,2,479
test1257,2,8
test0892,2,310
test0910,2,354
test0570,2,457
test0398,2,859
test0028,2,12
test0350,2,48
test1327,2,139
test0594,2,143
test0533,2,834
test0343,2,462
test0807,2,204
test0895,2,7
test1026,2,60
test0022,2,7
test1265,2,5
test0050,2,257
test0198,2,421
test0383,2,102
test0658,2,402
test1221,2,11
test0816,2,316
test0317,2,7
test1385,2,148
test0098,2,8
test0130,2,388
test0507,2,490
test1431,2,389
test0870,2,136
test0604,2,404
test1435,2,362
test1161,2,819
test1100,2,31
test0838,2,121
test0683,2,424
test1262,2,50
test0861,2,365
test0492,2,174
test0230,2,205
test0737,2,179
test1260,2,572
test0114,2,262
test0536,2,324
test0358,2,143
test1353,2,27
test0170,2,301
test1047,2,114
test0128,2,218
test0849,2,47
test0617,2,207
test0478,2,337
test1414,2,409
test1487,2,393
test1317,2,175
test0448,2,323
test0107,2,79
test0193,2,54
test0417,2,874
test1462,2,455
test1149,2,483
test1393,2,92
test0565,2,46
test1110,2,6
test0271,2,299
test1292,2,47
test0272,2,245
test0117,2,412
test0650,2,177
test0781,2,1031
test1065,2,65
test1076,2,280
test0640,2,237
test0534,2,189
test0803,2,33
test0506,2,287
test1071,2,12
test1240,2,8
test1001,2,71
test0555,2,853
test1270,2,495
test0508,2,831
test1441,2,427
test1139,2,546
test1318,2,626
test0063,2,5
test0980,2,760
test1323,2,608
test1035,2,560
test0470,2,243
test0637,2,4
test1040,2,57
test0755,2,723
test1189,2,504
test0476,2,6
test1478,2,776
test0583,2,255
test1436,2,808
test0134,2,7
test0460,2,4
test1362,2,127
test0729,2,437
test1133,2,518
test0563,2,188
test1339,2,655
test0738,2,217
test0378,2,8
test1395,2,442
test1382,2,247
test0093,2,7
test0991,2,258
test1105,2,373
test0916,2,462
test1314,2,299
test1246,2,102
test1434,2,738
test0163,2,209
test0125,2,513
test1101,2,226
test1005,2,260
test0818,2,434
test0799,2,573
test1394,2,73
test0877,2,499
test0784,2,215
test0059,2,416
test0898,2,117
test0833,2,536
test0834,2,209
test1250,2,114
test0258,2,9
test0474,2,709
test0299,2,309
test0406,2,383
test1298,2,8
test0922,2,4
test0626,2,208
test1015,2,278
test1388,2,52
test1301,2,129
test1168,2,742
test1198,2,423
test0952,2,369
test1424,2,6
test1082,2,122
test0779,2,486
test1125,2,60
test1192,2,115
test0557,2,69
test0086,2,8
test1135,2,50
test0554,2,457
test1460,2,433
test0407,2,52
test1126,2,901
test0073,2,534
test0351,2,375
test0375,2,449
test0748,2,226
test1481,2,40
test0060,2,9
test1083,2,27
test0396,2,797
test1019,2,443
test1124,2,722
test1038,2,505
test0207,2,743
test1155,2,7
test0023,2,249
test0986,2,50
test0029,2,7
test0887,2,127
test0395,2,57
test0285,2,57
test1443,2,721
test0500,2,683
test1018,2,350
test1354,2,287
test1396,2,515
test0774,2,135
test0419,2,129
test1492,2,105
test0889,2,158
test0901,2,38
test1056,2,170
test0444,2,550
test1000,2,287
test0164,2,61
test0544,2,1026
test1136,2,785
test0976,2,68
test0974,2,12
test0422,2,157
test1064,2,262
test0447,2,39
test0342,2,680
test0731,2,308
test1477,2,78
test0030,2,114
test0845,2,324
test0187,2,6
test0619,2,811
test0053,2,784
test1333,2,427
test0621,2,677
test1073,2,154
test0921,2,135
test0176,2,152
test1143,2,101
test0136,2,878
test0897,2,259
test0467,2,274
test1024,2,203
test0628,2,6
test0596,2,10
test0657,2,11
test0509,2,6
test1208,2,78
test0730,2,133
test1277,2,137
test0061,2,580
test0185,2,252
test0293,2,124
test0461,2,510
test0248,2,286
test1488,2,770
test1489,2,744
test0665,2,296
test1355,2,13
test0966,2,9
test0796,2,414
test0573,2,293
test0566,2,187
test0575,2,7
test0825,2,634
test1006,2,507
test1430,2,303
test0510,2,969
test0131,2,8
test1499,2,889
test0286,2,11
test1233,2,165
test1072,2,316
test0224,2,309
test0409,2,61
test0623,2,5
test1157,2,776
test0770,2,8
test0341,2,331
test1426,2,151
test0899,2,335
test1271,2,60
test1238,2,113
test1234,2,491
test1112,2,248
test0374,2,9
test0975,2,407
test1027,2,505
test1448,2,743
test0532,2,53
test0535,2,257
test1085,2,219
test1075,2,1017
test1330,2,120
test1152,2,54
test0630,2,482
test1461,2,414
test0933,2,75
test0165,2,650
test1232,2,800
test1384,2,471
test0389,2,297
test1432,2,956
test1131,2,7
test1457,2,131
test1342,2,456
test1482,2,326
test1197,2,162
test1485,2,772
test0960,2,72
test0852,2,235
test0831,2,423
test0962,2,369
test0252,2,9
test0614,2,232
test1151,2,220
test0854,2,310
test0069,2,70
test0260,2,892
test1025,2,132
test0549,2,169
test1371,2,657
test0813,2,315
test0645,2,41
test0003,2,654
test1348,2,6
test0585,2,6
test0031,2,120
test0316,2,283
test0735,2,10
test1473,2,57
test0042,2,5
test0274,2,378
test0524,2,664
test0914,2,446
test0311,2,218
test1111,2,416
test0263,2,908
test0413,2,248
test0195,2,222
test1181,2,10
test0026,2,215
test0278,2,385
test0848,2,55
test0122,2,7
test0392,2,6
test0132,2,402
test0055,2,265
test0896,2,330
test1187,2,973
test1433,2,739
test0750,2,891
test0629,2,4
test0761,2,92
test1296,2,483
test0904,2,9
test1130,2,6
test0787,2,464
test1214,2,49
test0822,2,220
test1062,2,61
test1313,2,212
test0211,2,723
test0082,2,372
test0359,2,946
test0079,2,59
test1037,2,10
test1193,2,480
test0144,2,64
test0485,2,255
test1340,2,15
