File,Gamma,DC
test0745,2,0.1
test1002,2,0.0562
test1086,2,0.0466
test1256,2,0.0854
test0705,2,0.0286
test1094,2,0.0018
test0390,2,0.0217
test0016,2,0.0368
test1349,2,0.063
test0306,2,0.0653
test1159,2,0.1031
test0835,2,0.0676
test1417,2,0.0032
test1148,2,0.0033
test0256,2,0.0026
test1258,2,0.0208
test0581,2,0.018
test0100,2,0.0414
test0102,2,0.1015
test0800,2,0.003
test0320,2,0.063
test1020,2,0.0498
test0231,2,0.0277
test0062,2,0.0477
test1257,2,0.0022
test0892,2,0.0188
test0910,2,0.0393
test0570,2,0.0795
test0398,2,0.0859
test0028,2,0.003
test0350,2,0.0072
test1327,2,0.0211
test0594,2,0.0144
test0533,2,0.0676
test0343,2,0.0385
test0807,2,0.0225
test0895,2,0.0035
test1026,2,0.0142
test0022,2,0.0018
test1265,2,0.0056
test0050,2,0.0439
test0198,2,0.0552
test0383,2,0.0103
test0658,2,0.0318
test1221,2,0.0044
test0816,2,0.0497
test0317,2,0.0036
test1385,2,0.0144
test0098,2,0.0045
test0130,2,0.0413
test0507,2,0.0497
test1431,2,0.0584
test0870,2,0.0146
test0604,2,0.0387
test1435,2,0.0326
test1161,2,0.1237
test1100,2,0.0047
test0838,2,0.0174
test0683,2,0.067
test1262,2,0.0055
test0861,2,0.0341
test0492,2,0.0179
test0230,2,0.0195
test0737,2,0.0242
test1260,2,0.0779
test0114,2,0.029
test0536,2,0.02
test0358,2,0.009
test1353,2,0.002
test0170,2,0.0245
test1047,2,0.0078
test0128,2,0.0244
test0849,2,0.0075
test0617,2,0.0345
test0478,2,0.0226
test1414,2,0.0314
test1487,2,0.0448
test1317,2,0.0265
test0448,2,0.0501
test0107,2,0.0043
test0193,2,0.0038
test0417,2,0.0715
test1462,2,0.0504
test1149,2,0.055
test1393,2,0.009
test0565,2,0.0073
test1110,2,0.0013
test0271,2,0.0278
test1292,2,0.004
test0272,2,0.0109
test0117,2,0.0284
test0650,2,0.022
test0781,2,0.1221
test1065,2,0.0283
test1076,2,0.0323
test0640,2,0.0205
test0534,2,0.019
test0803,2,0.0019
test0506,2,0.0199
test1071,2,0.0037
test1240,2,0.0013
test1001,2,0.0049
test0555,2,0.1334
test1270,2,0.0326
test0508,2,0.064
test1441,2,0.0291
test1139,2,0.0468
test1318,2,0.0952
test0063,2,0.0014
test0980,2,0.0821
test1323,2,0.0762
test1035,2,0.0324
test0470,2,0.0113
test0637,2,0.0004
test1040,2,0.0059
test0755,2,0.093
test1189,2,0.0583
test0476,2,0.0019
test1478,2,0.0788
test0583,2,0.0254
test1436,2,0.0845
test0134,2,0.0027
test0460,2,0.0025
test1362,2,0.0123
test0729,2,0.0237
test1133,2,0.0263
test0563,2,0.015
test1339,2,0.099
test0738,2,0.0254
test0378,2,0.0023
test1395,2,0.0354
test1382,2,0.0323
test0093,2,0.0025
test0991,2,0.0362
test1105,2,0.025
test0916,2,0.0302
test1314,2,0.0229
test1246,2,0.006
test1434,2,0.123
test0163,2,0.0198
test0125,2,0.0316
test1101,2,0.0104
test1005,2,0.0172
test0818,2,0.0265
test0799,2,0.056
test1394,2,0.0068
test0877,2,0.0884
test0784,2,0.0154
test0059,2,0.0362
test0898,2,0.005
test0833,2,0.0773
test0834,2,0.0276
