File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSsort,DC
test0745,10,177,178,34199,3524,28,16,16,16,16
test1002,10,196,197,26814,6557,0,0,0,0,0
test1086,10,104,105,17350,3164,132,23,25,25,25
test1256,10,183,182,27154,7542,66,19,20,20,19
test0705,10,151,150,12137,3310,4,2,2,2,2
test1094,10,117,118,1015,509,0,0,0,0,0
test0390,10,114,115,9353,2556,4,2,2,2,2
test0016,10,177,176,13270,3921,80,15,15,15,15
test1349,10,106,107,20988,4679,186,41,42,42,41
test0306,10,176,177,29433,5524,14,8,8,8,7
test1159,10,190,191,34464,8591,16,8,8,8,8
test0835,10,133,132,18037,4366,35,16,16,16,15
test1417,10,192,186,1518,766,0,0,0,0,0
test1148,10,173,174,1635,778,0,0,0,0,0
test0256,10,130,118,857,322,0,0,0,0,0
test1258,10,160,161,9845,2208,0,0,0,0,0
test0581,10,146,145,8638,2530,0,0,0,0,0
test0100,10,154,155,19461,4018,5,2,2,2,2
test0102,10,195,196,26155,6417,2,1,1,1,1
test0800,10,72,67,746,321,0,0,0,0,0
test0320,10,185,186,24814,5700,3,1,1,1,1
test1020,10,197,196,10456,3208,327,38,40,40,41
test0231,10,142,143,9182,2223,0,0,0,0,0
test0062,10,152,153,18758,4775,1,1,1,1,1
test1257,10,144,145,1301,637,0,0,0,0,0
test0892,10,111,110,6942,2077,65,17,18,18,15
test0910,10,195,194,10827,3347,11,4,4,4,4
test0570,10,137,138,18889,3267,24,10,10,10,10
test0398,10,183,184,35533,6913,41,16,16,16,16
test0028,10,108,109,1068,504,0,0,0,0,0
test0350,10,104,105,2383,888,0,0,0,0,0
test1327,10,190,191,8765,2727,0,0,0,0,0
test0594,10,90,89,3844,1069,0,0,0,0,0
test0533,10,179,178,27152,7137,72,24,24,24,25
test0343,10,113,114,16617,3795,34,13,13,13,13
test0807,10,118,116,6916,2003,0,0,0,0,0
test0895,10,160,161,1369,676,0,0,0,0,0
test1026,10,141,142,3873,1327,0,0,0,0,0
test0022,10,53,54,471,222,0,0,0,0,0
test1265,10,198,199,1853,901,0,0,0,0,0
test0050,10,128,129,10866,2707,0,0,0,0,0
test0198,10,168,169,18766,4695,2,2,2,2,2
test0383,10,105,106,4673,1334,0,0,0,0,0
test0658,10,86,85,11211,2818,78,18,19,19,18
test1221,10,182,183,1702,791,0,0,0,0,0
test0816,10,164,163,11971,3663,3,1,1,1,1
test0317,10,142,127,891,440,0,0,0,0,0
test1385,10,124,123,1818,792,102,14,14,14,14
test0098,10,151,152,1417,655,0,0,0,0,0
test0130,10,148,149,14902,3648,12,2,2,2,2
test0507,10,181,180,21227,5596,5,3,3,3,3
test1431,10,103,104,12296,2907,7,5,5,5,5
test0870,10,171,170,3824,1333,6,3,3,3,3
test0604,10,77,78,11039,2426,120,25,27,27,25
