File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
test0745,2,14,49,4459,686,4368,168,168,168,168
test1002,2,30,43,18705,1290,18270,315,315,315,315
test1086,2,36,46,28980,1656,28350,414,414,414,414
test1256,2,37,42,27972,1554,27306,378,378,378,378
test0705,2,23,43,10879,989,10626,231,231,231,231
test1094,2,33,49,25872,1617,25344,384,384,384,384
test0390,2,15,84,8820,1260,8715,294,294,294,294
test0016,2,29,55,22330,1595,21924,378,378,378,378
test1349,2,30,46,20010,1380,19575,345,345,345,345
test0306,2,25,41,12300,1025,12000,240,240,240,240
test1159,2,30,43,18705,1290,18270,315,315,315,315
test0835,2,10,49,2205,490,2160,120,120,120,120
test1417,2,30,57,24795,1710,24360,420,420,420,420
test1148,2,30,44,19140,1320,18705,330,330,330,330
test0256,2,22,78,18018,1716,17787,429,429,429,429
test1258,2,30,62,26970,1860,26535,465,465,465,465
test0581,2,16,55,6600,880,6480,216,216,216,216
test0100,2,20,45,8550,900,8360,220,220,220,220
test0102,2,10,97,4365,970,4320,240,240,240,240
test0800,2,15,90,9450,1350,9345,315,315,315,315
test0320,2,33,55,29040,1815,28512,432,432,432,432
test1020,2,32,57,28272,1824,27776,448,448,448,448
test0231,2,16,87,10440,1392,10320,344,344,344,344
test0062,2,22,97,22407,2134,22176,528,528,528,528
test1257,2,35,46,27370,1610,26775,391,391,391,391
test0892,2,32,42,20832,1344,20336,336,336,336,336
test0910,2,31,49,22785,1519,22320,360,360,360,360
test0570,2,24,65,17940,1560,17664,384,384,384,384
test0398,2,22,84,19404,1848,19173,462,462,462,462
test0028,2,14,91,8281,1274,8190,315,315,315,315
test0350,2,28,70,26460,1960,26082,490,490,490,490
test1327,2,30,62,26970,1860,26535,465,465,465,465
test0594,2,25,52,15600,1300,15300,312,312,312,312
test0533,2,17,74,10064,1258,9928,296,296,296,296
test0343,2,13,91,7098,1183,7020,270,270,270,270
test0807,2,19,83,14193,1577,14022,369,369,369,369
test0895,2,36,44,27720,1584,27090,396,396,396,396
test1026,2,32,42,20832,1344,20336,336,336,336,336
test0022,2,28,76,28728,2128,28350,532,532,532,532
test1265,2,33,51,26928,1683,26400,400,400,400,400
test0050,2,24,95,26220,2280,25944,564,564,564,564
test0198,2,32,48,23808,1536,23312,384,384,384,384
test0383,2,19,89,15219,1691,15048,396,396,396,396
test0658,2,30,52,22620,1560,22185,390,390,390,390
test1221,2,32,53,26288,1696,25792,416,416,416,416
test0816,2,16,56,6720,896,6600,224,224,224,224
test0317,2,10,42,1890,420,1845,105,105,105,105
test1385,2,32,58,28768,1856,28272,464,464,464,464
test0098,2,13,69,5382,897,5304,204,204,204,204
test0130,2,19,76,12996,1444,12825,342,342,342,342
test0507,2,29,50,20300,1450,19894,350,350,350,350
test1431,2,32,47,23312,1504,22816,368,368,368,368
test0870,2,37,40,26640,1480,25974,360,360,360,360
test0604,2,22,75,17325,1650,17094,407,407,407,407
test1435,2,33,43,22704,1419,22176,336,336,336,336
test1161,2,33,48,25344,1584,24816,384,384,384,384
test1100,2,30,52,22620,1560,22185,390,390,390,390
test0838,2,24,89,24564,2136,24288,528,528,528,528
test0683,2,19,71,12141,1349,11970,315,315,315,315
test1262,2,30,46,20010,1380,19575,345,345,345,345
test0861,2,30,51,22185,1530,21750,375,375,375,375
test0492,2,28,49,18522,1372,18144,336,336,336,336
test0230,2,26,55,17875,1430,17550,351,351,351,351
test0737,2,14,81,7371,1134,7280,280,280,280,280
test1260,2,37,44,29304,1628,28638,396,396,396,396
test0114,2,22,80,18480,1760,18249,440,440,440,440
test0536,2,11,44,2420,484,2365,110,110,110,110
test0358,2,13,77,6006,1001,5928,228,228,228,228
test1353,2,31,62,28830,1922,28365,465,465,465,465
test0170,2,26,58,18850,1508,18525,377,377,377,377
test1047,2,30,63,27405,1890,26970,465,465,465,465
test0128,2,25,56,16800,1400,16500,336,336,336,336
test0849,2,24,80,22080,1920,21804,480,480,480,480
test0617,2,21,52,10920,1092,10710,260,260,260,260
test0478,2,11,60,3300,660,3245,150,150,150,150
test1414,2,33,51,26928,1683,26400,400,400,400,400
test1487,2,30,65,28275,1950,27840,480,480,480,480
test1317,2,31,46,21390,1426,20925,345,345,345,345
test0448,2,18,87,13311,1566,13158,387,387,387,387
test0107,2,13,83,6474,1079,6396,246,246,246,246
test0193,2,17,61,8296,1037,8160,240,240,240,240
test0417,2,18,48,7344,864,7191,216,216,216,216
test1462,2,30,59,25665,1770,25230,435,435,435,435
test1149,2,34,51,28611,1734,28050,425,425,425,425
test1393,2,36,47,29610,1692,28980,414,414,414,414
test0565,2,35,47,27965,1645,27370,391,391,391,391
test1110,2,31,49,22785,1519,22320,360,360,360,360
test0271,2,21,84,17640,1764,17430,420,420,420,420
test1292,2,31,42,19530,1302,19065,315,315,315,315
test0272,2,12,75,4950,900,4884,222,222,222,222
test0117,2,11,56,3080,616,3025,140,140,140,140
test0650,2,10,88,3960,880,3915,220,220,220,220
test0781,2,30,48,20880,1440,20445,360,360,360,360
test1065,2,34,46,25806,1564,25245,391,391,391,391
test1076,2,33,40,21120,1320,20592,320,320,320,320
test0640,2,20,70,13300,1400,13110,350,350,350,350
test0534,2,26,48,15600,1248,15275,312,312,312,312
test0803,2,18,51,7803,918,7650,225,225,225,225
test0506,2,22,84,19404,1848,19173,462,462,462,462
test1071,2,30,53,23055,1590,22620,390,390,390,390
test1240,2,31,55,25575,1705,25110,405,405,405,405
test1001,2,30,42,18270,1260,17835,315,315,315,315
test0555,2,18,62,9486,1116,9333,279,279,279,279
test1270,2,30,47,20445,1410,20010,345,345,345,345
test0508,2,18,96,14688,1728,14535,432,432,432,432
test1441,2,30,59,25665,1770,25230,435,435,435,435
test1139,2,35,42,24990,1470,24395,357,357,357,357
test1318,2,31,44,20460,1364,19995,330,330,330,330
test0063,2,17,90,12240,1530,12104,360,360,360,360
test0980,2,34,52,29172,1768,28611,442,442,442,442
test1323,2,31,58,26970,1798,26505,435,435,435,435
test1035,2,30,55,23925,1650,23490,405,405,405,405
test0470,2,17,40,5440,680,5304,160,160,160,160
test0637,2,24,59,16284,1416,16008,348,348,348,348
test1040,2,32,55,27280,1760,26784,432,432,432,432
test0755,2,19,82,14022,1558,13851,369,369,369,369
test1189,2,37,42,27972,1554,27306,378,378,378,378
test0476,2,19,67,11457,1273,11286,297,297,297,297
test1478,2,36,43,27090,1548,26460,378,378,378,378
test0583,2,32,41,20336,1312,19840,320,320,320,320
test1436,2,30,66,28710,1980,28275,495,495,495,495
test0134,2,18,52,7956,936,7803,234,234,234,234
test0460,2,22,81,18711,1782,18480,440,440,440,440
test1362,2,33,54,28512,1782,27984,432,432,432,432
test0729,2,27,71,24921,1917,24570,455,455,455,455
test1133,2,34,53,29733,1802,29172,442,442,442,442
test0563,2,24,99,27324,2376,27048,588,588,588,588
test1339,2,32,47,23312,1504,22816,368,368,368,368
test0738,2,25,50,15000,1250,14700,300,300,300,300
test0378,2,15,69,7245,1035,7140,238,238,238,238
test1395,2,37,44,29304,1628,28638,396,396,396,396
test1382,2,31,41,19065,1271,18600,300,300,300,300
test0093,2,21,85,17850,1785,17640,420,420,420,420
test0991,2,34,46,25806,1564,25245,391,391,391,391
