File,Gamma,V,T,E,G_Edges,BBR19,LS,LSsort,DC
test0745,10,177,178,34199,28,0.0347,1928.6871,0.0327,0.0492
test1002,10,196,197,26814,0,0.027,13.7927,0.0297,0.037
test1086,10,104,105,17350,132,0.0175,5.8428,0.0204,0.0255
test1256,10,183,182,27154,66,0.0348,15.3735,0.0284,0.0442
test0705,10,151,150,12137,4,0.0294,4.879,0.0293,0.039
test1094,10,117,118,1015,0,0.002,0.0472,0.0022,0.003
test0390,10,114,115,9353,4,0.01,2.9285,0.0095,0.014
test0016,10,177,176,13270,80,0.0143,3.7757,0.0144,0.0472
test1349,10,106,107,20988,186,0.0217,9.209,0.0263,0.0326
test0306,10,176,177,29433,14,0.0296,18.4888,0.0291,0.0443
test1159,10,190,191,34464,16,0.035,23.9557,0.035,0.0771
test0835,10,133,132,18037,35,0.0176,6.5947,0.0181,0.0716
test1417,10,192,186,1518,0,0.0018,0.0485,0.0019,0.003
test1148,10,173,174,1635,0,0.0015,0.0613,0.0015,0.0026
test0256,10,130,118,857,0,0.0008,0.0165,0.0009,0.0015
test1258,10,160,161,9845,0,0.0113,1.933,0.0105,0.0436
test0581,10,146,145,8638,0,0.0083,1.5819,0.0083,0.039
test0100,10,154,155,19461,5,0.0181,7.4514,0.0179,0.0585
test0102,10,195,196,26155,2,0.0254,13.6077,0.025,0.0629
test0800,10,72,67,746,0,0.0007,0.0124,0.0011,0.0013
test0320,10,185,186,24814,3,0.0267,12.144,0.0247,0.0638
test1020,10,197,196,10456,327,0.0115,2.1521,0.0239,0.0545
test0231,10,142,143,9182,0,0.0086,1.7141,0.0087,0.0392
test0062,10,152,153,18758,1,0.0178,7.0429,0.0186,0.0545
test1257,10,144,145,1301,0,0.0019,0.0429,0.0024,0.003
test0892,10,111,110,6942,65,0.0064,0.965,0.0075,0.0368
test0910,10,195,194,10827,11,0.0107,2.3242,0.0118,0.0415
test0570,10,137,138,18889,24,0.0193,7.0355,0.0175,0.077
test0398,10,183,184,35533,41,0.0355,25.881,0.036,0.0793
test0028,10,108,109,1068,0,0.0011,0.0264,0.0015,0.0019
test0350,10,104,105,2383,0,0.0024,0.1178,0.0023,0.0046
test1327,10,190,191,8765,0,0.0083,1.5264,0.0079,0.0385
test0594,10,90,89,3844,0,0.0038,0.3025,0.004,0.0067
test0533,10,179,178,27152,72,0.0273,14.7186,0.0268,0.0634
test0343,10,113,114,16617,34,0.0166,5.4753,0.0169,0.0239
test0807,10,118,116,6916,0,0.0063,0.9705,0.0069,0.0363
test0895,10,160,161,1369,0,0.0013,0.0376,0.0015,0.0023
test1026,10,141,142,3873,0,0.0038,0.328,0.0035,0.0072
test0022,10,53,54,471,0,0.0005,0.0049,0.0005,0.0007
test1265,10,198,199,1853,0,0.0017,0.0725,0.0018,0.003
test0050,10,128,129,10866,0,0.011,2.4171,0.0103,0.016
test0198,10,168,169,18766,2,0.0245,6.9575,0.0184,0.0266
test0383,10,105,106,4673,0,0.0056,0.464,0.0057,0.0348
test0658,10,86,85,11211,78,0.0156,2.5887,0.0134,0.0478
test1221,10,182,183,1702,0,0.0017,0.0639,0.0017,0.0027
test0816,10,164,163,11971,3,0.014,3.4548,0.0116,0.0485
test0317,10,142,127,891,0,0.0009,0.0173,0.001,0.0019
test1385,10,124,123,1818,102,0.002,0.0762,0.0051,0.0041
test0098,10,151,152,1417,0,0.0013,0.0502,0.0012,0.0022
test0130,10,148,149,14902,12,0.0141,4.5478,0.0139,0.0472
test0507,10,181,180,21227,5,0.0216,9.0431,0.0204,0.0548
test1431,10,103,104,12296,7,0.0118,2.9899,0.0126,0.0433
test0870,10,171,170,3824,6,0.004,0.293,0.0038,0.0065
test0604,10,77,78,11039,120,0.0111,2.4153,0.0132,0.0171
test1435,10,124,125,13524,1,0.0133,3.6012,0.0125,0.0474
test1161,10,194,195,34412,10,0.0352,23.9071,0.0343,0.0797
test1100,10,150,147,1144,0,0.0013,0.0315,0.0016,0.0019
test0838,10,141,135,4809,0,0.0056,0.4929,0.0055,0.0347
test0683,10,188,189,20065,1,0.02,9.1461,0.0196,0.0537
test1262,10,105,106,2784,0,0.0066,0.1711,0.0063,0.0055
test0861,10,150,151,16086,1,0.0162,6.5759,0.0217,0.023
test0492,10,197,196,9283,0,0.0088,1.7359,0.0098,0.0394
test0230,10,94,95,7279,2,0.0072,1.1019,0.0072,0.011
test0737,10,189,188,7435,0,0.007,1.1152,0.007,0.0152
test1260,10,183,182,20666,8,0.0214,8.7189,0.0209,0.0293
test0114,10,118,119,10019,0,0.0132,2.1999,0.0127,0.0191
test0536,10,171,170,6633,61,0.0098,1.3509,0.0091,0.0388
test0358,10,132,131,3147,16,0.0048,0.245,0.006,0.0085
test1353,10,43,35,716,0,0.0012,0.0262,0.0015,0.0027
test0170,10,154,153,6476,74,0.0071,1.0302,0.0088,0.0379
test1047,10,107,104,2102,22,0.0025,0.1052,0.003,0.0052
test0128,10,167,166,5742,0,0.0068,0.8091,0.0075,0.0098
test0849,10,111,109,2474,0,0.0029,0.1512,0.0029,0.0052
test0617,10,169,167,9901,0,0.0163,2.3743,0.0142,0.0462
test0478,10,200,199,4368,221,0.0061,0.5424,0.0154,0.0111
test1414,10,138,137,11570,35,0.0146,3.729,0.0168,0.0224
test1487,10,185,186,19106,0,0.02,9.1355,0.0283,0.0279
test1317,10,138,137,7705,0,0.0081,1.7451,0.0081,0.0118
test0448,10,194,195,17028,0,0.0212,6.7386,0.0164,0.0589
test0107,10,102,89,1154,26,0.0013,0.0295,0.0018,0.0025
test0193,10,48,43,1264,0,0.0013,0.0365,0.0012,0.0022
test0417,10,152,151,27735,61,0.0323,22.6414,0.0303,0.0727
test1462,10,114,115,17750,65,0.024,8.9567,0.0201,0.0611
test1149,10,167,166,13534,49,0.0173,5.8514,0.0238,0.0252
test1393,10,77,78,3287,0,0.0047,0.2918,0.0046,0.0075
test0565,10,145,146,3588,0,0.0042,0.3534,0.0041,0.0068
test1110,10,80,81,682,0,0.0008,0.0119,0.0008,0.0013
test0271,10,147,148,12223,0,0.013,4.399,0.0195,0.0488
test1292,10,75,76,1859,0,0.0021,0.0848,0.003,0.0043
test0272,10,200,198,3007,351,0.006,0.2752,0.0356,0.0158
test0117,10,146,145,7917,121,0.0129,1.6376,0.0128,0.019
test0650,10,60,61,5394,13,0.0069,0.7799,0.0073,0.0371
test0781,10,191,192,39764,38,0.0435,44.9666,0.0431,0.0657
test1065,10,160,161,4315,0,0.0047,0.4212,0.005,0.0333
test1076,10,172,171,6797,37,0.0066,1.0003,0.007,0.0369
test0640,10,58,59,6741,125,0.0103,0.9983,0.011,0.0515
test0534,10,186,185,9113,0,0.0104,1.7785,0.0087,0.0411
test0803,10,32,31,679,0,0.0007,0.0109,0.0008,0.0012
test0506,10,76,75,7747,47,0.013,1.6244,0.0127,0.0437
test1071,10,169,170,1562,0,0.0031,0.1164,0.0027,0.0056
test1240,10,49,50,380,0,0.0005,0.0044,0.0005,0.0009
test1001,10,27,26,1367,89,0.0017,0.0749,0.0046,0.0039
test0555,10,197,198,37195,29,0.0371,33.551,0.0365,0.0544
test1270,10,170,168,10680,204,0.0108,2.2768,0.0154,0.0448
test0508,10,146,147,27798,31,0.0337,18.6734,0.0325,0.0557
test1441,10,69,70,11395,273,0.0246,2.8563,0.0272,0.0537
test1139,10,144,145,20506,15,0.0436,12.1973,0.05,0.0526
test1318,10,183,184,27707,11,0.0293,17.0458,0.0294,0.0657
test0063,10,183,149,327,0,0.0004,0.0031,0.0007,0.0006
test0980,10,200,201,34828,5,0.0388,24.9877,0.0422,0.0792
test1323,10,156,157,24994,14,0.0261,14.0837,0.025,0.0382
test1035,10,167,166,11081,155,0.0112,3.156,0.0136,0.0447
test0470,10,177,169,3505,130,0.0037,0.2494,0.0069,0.0071
test0637,10,117,21,137,0,0.0002,0.0006,0.0002,0.0003
test1040,10,126,126,3306,0,0.0032,0.2155,0.0031,0.0059
test0755,10,130,131,24241,106,0.0245,14.217,0.0247,0.0623
test1189,10,105,106,18224,172,0.0179,8.0397,0.0266,0.0576
test0476,10,99,100,861,0,0.001,0.0217,0.0011,0.0016
test1478,10,197,198,36514,18,0.0374,28.7035,0.0401,0.0552
test0583,10,67,68,7927,64,0.0079,1.3801,0.0089,0.0394
test1436,10,146,147,26715,91,0.0275,16.7908,0.0289,0.0633
test0134,10,179,180,1676,0,0.002,0.0614,0.0023,0.0027
test0460,10,177,178,1602,0,0.0021,0.0629,0.0024,0.0043
test1362,10,138,139,6066,0,0.0068,0.8968,0.006,0.0387
test0729,10,185,184,8565,78,0.0123,1.5703,0.0134,0.056
test1133,10,197,196,8054,286,0.0088,1.4978,0.0254,0.0448
test0563,10,86,85,3747,47,0.0042,0.3056,0.0042,0.0069
test1339,10,135,134,17502,93,0.0215,7.0689,0.0204,0.0597
test0738,10,190,191,12180,0,0.0207,3.5627,0.0192,0.0317
test0378,10,164,152,1324,0,0.0018,0.0516,0.0027,0.0026
test1395,10,179,178,12686,12,0.0133,4.1726,0.0129,0.0187
test1382,10,189,188,8013,1,0.0103,1.4093,0.0082,0.0585
test0093,10,158,97,677,0,0.0007,0.0101,0.0007,0.0012
test0991,10,84,85,8626,18,0.0097,1.6213,0.0087,0.0419
test1105,10,120,119,5866,224,0.0065,0.7545,0.0136,0.0113
test0916,10,188,187,9879,209,0.0131,2.4265,0.0184,0.0568
test1314,10,103,104,10279,8,0.0106,2.1831,0.0104,0.0158
test1246,10,87,86,2240,7,0.0023,0.1085,0.0023,0.0045
test1434,10,175,176,32081,9,0.0338,22.879,0.034,0.078
test0163,10,120,119,7177,4,0.0073,1.1044,0.0077,0.0108
test0125,10,107,106,11543,284,0.0123,2.9951,0.0233,0.0486
test1101,10,145,144,3130,118,0.0036,0.2132,0.0064,0.0069
test1005,10,144,143,6825,19,0.0079,1.1323,0.0078,0.0393
test0818,10,176,175,9922,84,0.0158,2.0988,0.0198,0.0157
test0799,10,191,192,24547,1,0.0253,13.0242,0.025,0.0595
test1394,10,85,86,3241,0,0.0033,0.2208,0.0035,0.0056
test0877,10,200,201,28120,4,0.0282,15.7939,0.0276,0.0647
test0784,10,51,52,4549,50,0.0042,0.4206,0.0051,0.0336
test0059,10,177,176,16336,2,0.016,5.365,0.0155,0.0484
test0898,10,59,58,1499,92,0.0016,0.0495,0.0041,0.003
test0833,10,175,176,22486,4,0.0248,10.1013,0.0306,0.0666
test0834,10,87,86,6046,17,0.0106,0.8087,0.0088,0.0283
test1250,10,151,152,6728,0,0.0074,1.3824,0.0076,0.0101
test0258,10,159,160,1462,0,0.0017,0.0472,0.0016,0.0024
test0474,10,127,128,22877,63,0.0422,13.1652,0.0429,0.0827
test0299,10,185,186,16428,0,0.0193,6.7619,0.0192,0.0272
test0406,10,115,116,14802,8,0.0181,5.4619,0.0175,0.0251
test1298,10,129,130,1145,0,0.0013,0.0335,0.0016,0.0021
test0922,10,189,190,1789,0,0.0021,0.0791,0.0025,0.0031
test0626,10,107,108,8532,4,0.0115,1.7733,0.0109,0.0166
test1015,10,150,148,12453,0,0.0218,4.8388,0.0227,0.0278
