File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test0745,2,14,49,4459,4368,0.1822,1.7071,1.1018,0.0549
test1002,2,30,43,18705,18270,0.5243,9.7062,12.2001,0.0703
test1086,2,36,46,28980,28350,1.0882,18.8358,20.7754,0.3638
test1256,2,37,42,27972,27306,1.1214,19.2422,23.9812,0.3287
test0705,2,23,43,10879,10626,0.2294,3.614,3.6534,0.0401
test1094,2,33,49,25872,25344,0.863,14.7828,15.933,0.1037
test0390,2,15,84,8820,8715,0.2723,2.057,1.5813,0.0505
test0016,2,29,55,22330,21924,0.8138,11.5982,13.2566,0.266
test1349,2,30,46,20010,19575,0.7792,9.3613,14.402,0.0724
test0306,2,25,41,12300,12000,0.3273,5.5635,6.1449,0.0749
test1159,2,30,43,18705,18270,0.6848,9.05,11.3948,0.0677
test0835,2,10,49,2205,2160,0.0278,0.231,0.3766,0.0176
test1417,2,30,57,24795,24360,1.0991,13.9852,17.1953,0.1195
test1148,2,30,44,19140,18705,1.1112,11.8245,11.819,0.0997
test0256,2,22,78,18018,17787,0.6737,7.179,7.04,0.1817
test1258,2,30,62,26970,26535,1.3436,12.8956,16.4686,0.1053
test0581,2,16,55,6600,6480,0.596,2.4279,2.8802,0.0753
test0100,2,20,45,8550,8360,0.1702,2.4622,2.3766,0.0431
test0102,2,10,97,4365,4320,0.1058,0.4484,0.5235,0.0282
test0800,2,15,90,9450,9345,0.2878,1.6807,1.7136,0.0408
test0320,2,33,55,29040,28512,1.0666,15.6207,19.1047,0.1188
test1020,2,32,57,28272,27776,1.0513,13.6094,16.7247,0.3043
test0231,2,16,87,10440,10320,0.3282,2.1865,2.511,0.044
test0062,2,22,97,22407,22176,1.8225,7.577,7.9932,0.6668
test1257,2,35,46,27370,26775,1.0406,15.3319,20.3061,0.3562
test0892,2,32,42,20832,20336,0.6064,10.4961,13.9316,0.243
test0910,2,31,49,22785,22320,0.9197,10.8214,12.3606,0.0838
test0570,2,24,65,17940,17664,0.6182,6.0677,7.2802,0.387
test0398,2,22,84,19404,19173,0.9455,5.9975,6.4861,0.0845
test0028,2,14,91,8281,8190,0.2407,1.4267,1.478,0.0383
test0350,2,28,70,26460,26082,1.1562,11.1078,12.3076,0.2944
test1327,2,30,62,26970,26535,1.1571,12.4218,14.4226,0.3085
test0594,2,25,52,15600,15300,0.7232,5.9974,8.3251,0.0671
test0533,2,17,74,10064,9928,0.3199,2.5189,2.0889,0.0592
test0343,2,13,91,7098,7020,0.1859,1.0272,0.9834,0.0288
test0807,2,19,83,14193,14022,0.5437,3.9919,4.3042,0.0692
test0895,2,36,44,27720,27090,1.2478,22.4502,21.884,0.4653
test1026,2,32,42,20832,20336,0.9446,12.4529,15.9479,0.4223
test0022,2,28,76,28728,28350,1.837,16.0085,17.2676,0.496
test1265,2,33,51,26928,26400,1.3948,17.7788,21.2202,0.3422
test0050,2,24,95,26220,25944,1.2578,9.6712,9.7315,0.2619
test0198,2,32,48,23808,23312,0.7899,12.268,13.3135,0.2709
test0383,2,19,89,15219,15048,0.5453,4.2875,4.9253,0.0601
test0658,2,30,52,22620,22185,1.3206,13.1896,16.1358,0.1416
test1221,2,32,53,26288,25792,1.1355,14.8849,16.1153,0.299
test0816,2,16,56,6720,6600,0.1395,1.4961,1.2966,0.2478
test0317,2,10,42,1890,1845,0.0211,0.1859,0.1928,0.0166
test1385,2,32,58,28768,28272,1.2246,15.302,15.6884,0.3961
test0098,2,13,69,5382,5304,0.1201,0.9857,0.7649,0.0291
test0130,2,19,76,12996,12825,0.4224,3.7519,3.6468,0.1901
test0507,2,29,50,20300,19894,0.6091,11.0994,10.0929,0.2166
test1431,2,32,47,23312,22816,0.9746,12.3609,12.659,0.325
test0870,2,37,40,26640,25974,0.8503,16.9494,17.8036,0.3299
test0604,2,22,75,17325,17094,0.7518,5.2544,5.3859,0.0771
test1435,2,33,43,22704,22176,0.6577,10.7068,14.9797,0.2615
test1161,2,33,48,25344,24816,1.1568,14.0731,16.6248,0.295
test1100,2,30,52,22620,22185,0.7515,11.9589,12.3439,0.2524
test0838,2,24,89,24564,24288,1.2588,9.7846,10.3761,0.2705
test0683,2,19,71,12141,11970,0.3802,3.747,4.1328,0.0504
test1262,2,30,46,20010,19575,0.5921,9.9207,11.1263,0.2768
test0861,2,30,51,22185,21750,0.873,11.6287,12.4634,0.0844
test0492,2,28,49,18522,18144,0.5582,9.1162,9.3157,0.0884
test0230,2,26,55,17875,17550,0.7044,7.4589,8.0615,0.1167
test0737,2,14,81,7371,7280,0.2129,1.1108,1.7507,0.1871
test1260,2,37,44,29304,28638,1.0248,25.2891,18.9285,0.3342
test0114,2,22,80,18480,18249,0.8676,6.5752,6.6592,0.082
test0536,2,11,44,2420,2365,0.0436,0.3091,0.3064,0.027
test0358,2,13,77,6006,5928,0.1746,1.1535,1.1233,0.0468
test1353,2,31,62,28830,28365,1.8285,16.743,18.5499,0.1538
test0170,2,26,58,18850,18525,1.0053,6.8163,8.1932,0.0751
test1047,2,30,63,27405,26970,1.5009,12.8735,15.6529,0.1022
test0128,2,25,56,16800,16500,0.8912,8.6921,9.1837,0.0877
test0849,2,24,80,22080,21804,1.0417,9.7759,10.0184,0.3206
test0617,2,21,52,10920,10710,0.4303,4.1107,4.917,0.415
test0478,2,11,60,3300,3245,0.0771,0.4796,0.6246,0.0304
test1414,2,33,51,26928,26400,1.1892,17.2409,17.7664,0.1033
test1487,2,30,65,28275,27840,1.1564,13.4952,16.7706,0.3209
test1317,2,31,46,21390,20925,0.6578,12.4832,10.4324,0.2357
test0448,2,18,87,13311,13158,0.4536,2.8728,3.0793,0.2542
test0107,2,13,83,6474,6396,0.1609,0.8358,0.8703,0.0305
test0193,2,17,61,8296,8160,0.1884,1.661,1.6607,0.0366
test0417,2,18,48,7344,7191,0.1431,1.6507,1.8984,0.0382
test1462,2,30,59,25665,25230,0.997,14.6128,19.3094,0.3175
test1149,2,34,51,28611,28050,1.0076,16.8205,16.2869,0.3149
test1393,2,36,47,29610,28980,1.0376,16.6009,22.2618,0.116
test0565,2,35,47,27965,27370,1.2651,19.7865,18.2776,0.418
test1110,2,31,49,22785,22320,0.7307,13.037,12.7425,0.2643
