File,Gamma,DC
decoData,2,245
decoData,2,306
decoData,2,194
decoData,2,187
decoData,2,169
decoData,2,315
decoData,2,570
decoData,2,395
decoData,2,2554
decoData,2,508
decoData,2,217
decoData,2,620
decoData,2,442
decoData,2,208
decoData,2,414
decoData,2,333
decoData,2,170
decoData,2,455
decoData,2,333
decoData,2,1868
decoData,2,225
decoData,2,2409
decoData,2,464
decoData,2,307
decoData,2,307
decoData,2,499
decoData,2,317
decoData,2,202
decoData,2,197
decoData,2,891
decoData,2,527
decoData,2,468
decoData,2,214
decoData,2,521
decoData,2,214
decoData,2,693
decoData,2,1017
decoData,2,199
decoData,2,235
decoData,2,198
decoData,2,212
decoData,2,258
decoData,2,1406
decoData,2,165
decoData,2,325
decoData,2,187
decoData,2,302
decoData,2,652
decoData,2,270
decoData,2,167
decoData,2,404
decoData,2,541
decoData,2,1507
decoData,2,166
decoData,2,347
decoData,2,158
decoData,2,195
decoData,2,305
decoData,2,1019
decoData,2,1890
decoData,2,1593
decoData,2,328
decoData,2,1269
decoData,2,166
decoData,2,209
decoData,2,278
decoData,2,239
decoData,2,184
decoData,2,457
decoData,2,557
decoData,2,344
decoData,2,573
decoData,2,593
decoData,2,289
decoData,2,164
decoData,2,307
decoData,2,200
decoData,2,1081
decoData,2,480
decoData,2,158
decoData,2,523
decoData,2,307
decoData,2,305
decoData,2,1205
decoData,2,213
decoData,2,213
decoData,2,262
decoData,2,284
decoData,2,1009
decoData,2,469
decoData,2,884
decoData,2,1737
decoData,2,397
decoData,2,322
decoData,2,319
decoData,2,279
decoData,2,459
decoData,2,189
decoData,2,293
decoData,2,285
decoData,2,308
decoData,2,302
decoData,2,173
decoData,2,218
decoData,2,650
decoData,2,597
decoData,2,550
decoData,2,196
decoData,2,168
decoData,2,257
decoData,2,249
decoData,2,250
decoData,2,815
decoData,2,337
decoData,2,185
decoData,2,322
decoData,2,727
decoData,2,167
decoData,2,202
decoData,2,248
decoData,2,489
decoData,2,843
decoData,2,319
decoData,2,247
decoData,2,302
decoData,2,268
decoData,2,409
decoData,2,456
decoData,2,182
decoData,2,1533
decoData,2,177
decoData,2,240
decoData,2,229
decoData,2,416
decoData,2,163
decoData,2,155
decoData,2,195
decoData,2,246
decoData,2,269
decoData,2,187
decoData,2,243
decoData,2,315
decoData,2,215
decoData,2,199
decoData,2,176
decoData,2,161
decoData,2,308
decoData,2,200
decoData,2,306
decoData,2,194
decoData,2,316
decoData,2,187
decoData,2,477
decoData,2,324
decoData,2,166
decoData,2,313
decoData,2,215
decoData,2,193
decoData,2,262
decoData,2,177
decoData,2,174
decoData,2,1365
decoData,2,246
decoData,2,288
decoData,2,346
decoData,2,386
decoData,2,215
decoData,2,347
decoData,2,317
decoData,2,181
decoData,2,620
decoData,2,162
decoData,2,210
decoData,2,373
decoData,2,194
decoData,2,217
decoData,2,322
decoData,2,1273
decoData,2,313
decoData,2,249
