File,Gamma,DC
decoData,2,0.0054
decoData,2,0.0068
decoData,2,0.0036
decoData,2,0.0039
decoData,2,0.0045
decoData,2,0.0055
decoData,2,0.0125
decoData,2,0.0082
decoData,2,0.1156
decoData,2,0.0093
decoData,2,0.0041
decoData,2,0.0106
decoData,2,0.0079
decoData,2,0.0041
decoData,2,0.007
decoData,2,0.0063
decoData,2,0.0034
decoData,2,0.0077
decoData,2,0.0056
decoData,2,0.057
decoData,2,0.0109
decoData,2,0.1016
decoData,2,0.0205
decoData,2,0.0101
decoData,2,0.007
decoData,2,0.013
decoData,2,0.0079
decoData,2,0.0079
decoData,2,0.0068
decoData,2,0.0259
decoData,2,0.0184
decoData,2,0.0125
decoData,2,0.0079
decoData,2,0.0158
decoData,2,0.0073
decoData,2,0.021
decoData,2,0.0309
decoData,2,0.013
decoData,2,0.0136
decoData,2,0.013
decoData,2,0.0132
decoData,2,0.0157
decoData,2,0.0583
decoData,2,0.0076
decoData,2,0.0092
decoData,2,0.0075
decoData,2,0.0103
decoData,2,0.0203
decoData,2,0.0094
decoData,2,0.0066
decoData,2,0.0121
decoData,2,0.0237
decoData,2,0.0504
decoData,2,0.006
decoData,2,0.0123
decoData,2,0.0054
decoData,2,0.0077
decoData,2,0.0083
decoData,2,0.0404
decoData,2,0.0823
decoData,2,0.0596
decoData,2,0.0082
decoData,2,0.0306
decoData,2,0.0045
decoData,2,0.0054
decoData,2,0.0069
decoData,2,0.0062
decoData,2,0.0056
decoData,2,0.0119
decoData,2,0.0159
decoData,2,0.0082
decoData,2,0.0124
decoData,2,0.0134
decoData,2,0.0066
decoData,2,0.0052
decoData,2,0.0084
decoData,2,0.011
decoData,2,0.0407
decoData,2,0.0275
decoData,2,0.0048
decoData,2,0.0117
decoData,2,0.0082
decoData,2,0.0114
decoData,2,0.0398
decoData,2,0.0091
decoData,2,0.0075
decoData,2,0.0107
decoData,2,0.0162
decoData,2,0.0447
decoData,2,0.023
decoData,2,0.0229
decoData,2,0.0493
decoData,2,0.0104
decoData,2,0.0078
decoData,2,0.0078
decoData,2,0.0066
decoData,2,0.0102
decoData,2,0.0043
decoData,2,0.0069
decoData,2,0.0067
decoData,2,0.0067
decoData,2,0.009
decoData,2,0.0059
decoData,2,0.0059
decoData,2,0.0198
decoData,2,0.0183
decoData,2,0.0144
decoData,2,0.0051
decoData,2,0.0045
decoData,2,0.0058
decoData,2,0.0057
decoData,2,0.0057
decoData,2,0.0173
decoData,2,0.0094
decoData,2,0.0054
decoData,2,0.013
decoData,2,0.0212
decoData,2,0.0064
decoData,2,0.0068
decoData,2,0.0074
decoData,2,0.0127
decoData,2,0.024
decoData,2,0.0104
decoData,2,0.0078
decoData,2,0.007
decoData,2,0.0066
decoData,2,0.0121
decoData,2,0.0137
decoData,2,0.0058
decoData,2,0.0475
decoData,2,0.0063
decoData,2,0.0066
decoData,2,0.0061
decoData,2,0.0105
decoData,2,0.0044
decoData,2,0.0041
decoData,2,0.0051
decoData,2,0.0067
decoData,2,0.0069
decoData,2,0.0066
decoData,2,0.0086
decoData,2,0.0105
decoData,2,0.008
decoData,2,0.0066
decoData,2,0.0061
decoData,2,0.0113
decoData,2,0.0081
decoData,2,0.0053
decoData,2,0.0071
decoData,2,0.005
decoData,2,0.0074
decoData,2,0.0047
decoData,2,0.01
decoData,2,0.0076
decoData,2,0.006
decoData,2,0.0084
decoData,2,0.0062
decoData,2,0.0067
decoData,2,0.0089
decoData,2,0.0066
decoData,2,0.0061
decoData,2,0.0335
decoData,2,0.0057
decoData,2,0.0063
decoData,2,0.0072
decoData,2,0.0095
decoData,2,0.006
decoData,2,0.0098
decoData,2,0.0094
decoData,2,0.0064
decoData,2,0.0172
decoData,2,0.0049
decoData,2,0.0062
decoData,2,0.0104
decoData,2,0.0068
decoData,2,0.0055
decoData,2,0.0084
decoData,2,0.0424
decoData,2,0.0085
decoData,2,0.0074
