File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
enron6310000,2,150,16,3739,1235,1808,171,185,182,205
enron4280000,2,150,23,4432,1704,2219,238,243,247,268
enron7490000,2,150,14,3457,1082,1591,150,170,161,176
enron8250000,2,150,12,3337,999,1529,140,155,151,160
enron9520000,2,150,11,3222,928,1467,132,142,141,144
enron4190000,2,150,24,4491,1714,2292,233,255,254,276
enron1750000,2,150,57,6485,3403,3311,436,470,464,517
enron3110000,2,150,32,5064,2172,2581,291,316,315,347
enron10000,2,150,9828,20369,28150,2532,1391,1422,1421,1373
enron2300000,2,150,43,5773,2747,2978,369,387,386,428
enron6860000,2,150,15,3648,1162,1774,166,183,180,191
enron1670000,2,150,59,6683,3536,3451,456,482,475,543
enron2810000,2,150,35,5300,2370,2715,316,344,343,378
enron7180000,2,150,14,3619,1159,1757,161,178,178,191
enron3020000,2,150,33,5122,2234,2638,300,325,319,344
enron3680000,2,150,27,4731,1921,2406,250,280,275,300
enron9530000,2,150,11,3231,929,1480,134,143,143,144
enron2560000,2,150,39,5507,2525,2814,336,356,348,403
enron4090000,2,150,25,4563,1785,2319,239,257,260,278
enron140000,2,150,702,14634,14772,4146,1217,1277,1270,1404
enron6170000,2,150,16,3853,1289,1891,180,196,189,212
enron60000,2,150,1638,17145,19960,4008,1496,1553,1552,1650
enron2530000,2,150,39,5511,2557,2796,337,368,362,404
enron4750000,2,150,21,4269,1575,2170,216,232,231,258
enron4530000,2,150,22,4339,1633,2169,217,240,244,265
enron2060000,2,150,48,6113,3049,3151,397,415,418,469
enron4390000,2,150,23,4387,1653,2208,225,247,246,262
enron7430000,2,150,14,3486,1094,1626,152,172,175,174
enron7610000,2,150,13,3442,1059,1596,153,170,165,165
enron880000,2,150,112,8659,5638,4309,683,716,715,817
enron1980000,2,150,50,6203,3091,3198,413,434,425,483
enron2730000,2,150,36,5352,2405,2740,315,340,332,382
enron7090000,2,150,14,3641,1154,1790,167,177,178,191
enron2380000,2,150,42,5696,2698,2892,353,372,366,421
enron6590000,2,150,15,3693,1215,1772,166,187,178,203
enron1420000,2,150,70,7097,3978,3596,500,533,527,599
enron800000,2,150,123,8948,5976,4374,707,738,735,831
enron8120000,2,150,13,3394,1015,1597,146,158,159,173
enron6390000,2,150,16,3753,1226,1837,172,186,183,201
enron7550000,2,150,14,3445,1078,1588,152,167,161,176
enron6920000,2,150,15,3651,1161,1767,167,177,172,187
enron5260000,2,150,19,4083,1455,2029,201,212,215,236
enron440000,2,150,224,11067,8796,4895,953,997,996,1140
enron9050000,2,150,11,3181,918,1423,133,135,140,148
enron3610000,2,150,28,4862,1974,2534,264,297,290,311
enron8260000,2,150,12,3338,1000,1532,141,154,151,166
enron4680000,2,150,21,4263,1580,2120,213,229,229,256
enron1590000,2,150,62,6783,3656,3476,472,490,493,558
enron5490000,2,150,18,3967,1376,1967,193,207,212,221
enron8900000,2,150,12,3248,929,1492,128,142,145,154
enron2940000,2,150,34,5299,2293,2762,315,334,327,377
enron1890000,2,150,52,6256,3190,3209,415,440,440,498
enron390000,2,150,252,11489,9447,4891,987,1040,1037,1153
enron8670000,2,150,12,3273,947,1507,139,147,147,158
enron3770000,2,150,27,4660,1853,2375,250,273,275,299
enron9730000,2,150,11,3147,873,1416,127,135,133,151
enron7730000,2,150,13,3465,1063,1632,154,167,167,174
enron4690000,2,150,21,4282,1585,2152,216,234,235,254
enron760000,2,150,130,9146,6239,4463,726,767,757,872
enron160000,2,150,615,14271,14096,4233,1222,1281,1282,1398
enron260000,2,150,378,12841,11516,4644,1095,1152,1137,1277
enron3950000,2,150,25,4552,1797,2292,240,268,269,288
enron540000,2,150,182,10445,7844,4934,872,925,920,1052
enron9020000,2,150,11,3202,918,1447,133,141,142,158
