File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron6310000,2,150,16,3739,1808,0.0544,0.3824,0.3636,0.0309
enron4280000,2,150,23,4432,2219,0.0338,0.563,0.1809,0.0149
enron7490000,2,150,14,3457,1591,0.0168,0.2583,0.1418,0.0117
enron8250000,2,150,12,3337,1529,0.0149,0.2396,0.143,0.0086
enron9520000,2,150,11,3222,1467,0.0143,0.2291,0.1493,0.0121
enron4190000,2,150,24,4491,2292,0.0655,0.3476,0.1938,0.0131
enron1750000,2,150,57,6485,3311,0.088,0.5525,0.2103,0.0199
enron3110000,2,150,32,5064,2581,0.0546,0.3928,0.1929,0.0151
enron10000,2,150,9828,20369,2532,0.3088,8.3828,0.2947,0.0535
enron2300000,2,150,43,5773,2978,0.0708,0.4853,0.2149,0.0188
enron6860000,2,150,15,3648,1774,0.0235,0.2785,0.1692,0.0301
enron1670000,2,150,59,6683,3451,0.1015,0.6054,0.2234,0.0208
enron2810000,2,150,35,5300,2715,0.0559,0.4406,0.2351,0.0163
enron7180000,2,150,14,3619,1757,0.0203,0.2817,0.1741,0.0122
enron3020000,2,150,33,5122,2638,0.0516,0.4268,0.2026,0.017
enron3680000,2,150,27,4731,2406,0.041,0.3844,0.2073,0.0151
enron9530000,2,150,11,3231,1480,0.0189,0.2475,0.1504,0.0475
enron2560000,2,150,39,5507,2814,0.062,0.4676,0.2057,0.0178
enron4090000,2,150,25,4563,2319,0.0369,0.3678,0.2025,0.0143
enron140000,2,150,702,14634,4146,0.3667,3.7293,0.2826,0.0437
enron6170000,2,150,16,3853,1891,0.0245,0.3122,0.1882,0.0249
enron60000,2,150,1638,17145,4008,0.4701,5.538,0.3829,0.0526
enron2530000,2,150,39,5511,2796,0.0658,0.4758,0.2029,0.0178
enron4750000,2,150,21,4269,2170,0.0342,0.3529,0.2193,0.012
enron4530000,2,150,22,4339,2169,0.0336,0.3619,0.1905,0.0134
enron2060000,2,150,48,6113,3151,0.0826,0.5595,0.226,0.0195
enron4390000,2,150,23,4387,2208,0.034,0.3603,0.193,0.0479
enron7430000,2,150,14,3486,1626,0.0197,0.2744,0.1588,0.0097
enron7610000,2,150,13,3442,1596,0.018,0.2702,0.1619,0.0114
enron880000,2,150,112,8659,4309,0.2213,0.9514,0.2525,0.03
enron1980000,2,150,50,6203,3198,0.0923,0.5542,0.2234,0.0212
enron2730000,2,150,36,5352,2740,0.0588,0.4566,0.2438,0.0176
enron7090000,2,150,14,3641,1790,0.0218,0.2956,0.1879,0.01
enron2380000,2,150,42,5696,2892,0.0695,0.5059,0.2085,0.018
enron6590000,2,150,15,3693,1772,0.0222,0.2951,0.1706,0.0104
enron1420000,2,150,70,7097,3596,0.12,0.7309,0.2275,0.024
enron800000,2,150,123,8948,4374,0.2262,1.034,0.2493,0.0313
enron8120000,2,150,13,3394,1597,0.0173,0.2671,0.1659,0.0117
enron6390000,2,150,16,3753,1837,0.0236,0.3084,0.1816,0.0131
enron7550000,2,150,14,3445,1588,0.018,0.2657,0.1551,0.0093
enron6920000,2,150,15,3651,1767,0.0227,0.2925,0.1919,0.0102
enron5260000,2,150,19,4083,2029,0.0292,0.3268,0.1906,0.0143
enron440000,2,150,224,11067,4895,0.3146,1.6084,0.2902,0.0373
enron9050000,2,150,11,3181,1423,0.0139,0.2404,0.147,0.0081
enron3610000,2,150,28,4862,2534,0.0464,0.4233,0.2209,0.0175
enron8260000,2,150,12,3338,1532,0.016,0.2513,0.1517,0.0087
enron4680000,2,150,21,4263,2120,0.0311,0.3775,0.1906,0.0126
enron1590000,2,150,62,6783,3476,0.1079,0.6221,0.2231,0.0228
enron5490000,2,150,18,3967,1967,0.027,0.3205,0.225,0.0122
enron8900000,2,150,12,3248,1492,0.0144,0.2468,0.1534,0.0112
enron2940000,2,150,34,5299,2762,0.0628,0.4482,0.2218,0.0179
enron1890000,2,150,52,6256,3209,0.088,0.5476,0.2521,0.0196
enron390000,2,150,252,11489,4891,0.3218,1.7109,0.2998,0.0375
enron8670000,2,150,12,3273,1507,0.0156,0.2456,0.1511,0.0108
enron3770000,2,150,27,4660,2375,0.0401,0.385,0.2049,0.0143
enron9730000,2,150,11,3147,1416,0.0143,0.2336,0.1504,0.0079
enron7730000,2,150,13,3465,1632,0.0185,0.274,0.1684,0.0092
enron4690000,2,150,21,4282,2152,0.032,0.3498,0.2,0.048
enron760000,2,150,130,9146,4463,0.2089,1.0363,0.2532,0.0311
enron160000,2,150,615,14271,4233,0.3635,3.4491,0.2999,0.0439
enron260000,2,150,378,12841,4644,0.3471,2.4078,0.2911,0.0408
enron3950000,2,150,25,4552,2292,0.0376,0.3794,0.1946,0.0145
enron540000,2,150,182,10445,4934,0.2821,1.3547,0.3,0.0335
enron9020000,2,150,11,3202,1447,0.014,0.2391,0.1451,0.008
enron6740000,2,150,15,3641,1746,0.0209,0.2838,0.1638,0.0098
enron4620000,2,150,22,4225,2067,0.0293,0.3374,0.1813,0.0135
enron6340000,2,150,16,3739,1808,0.023,0.2934,0.2014,0.0104
enron8300000,2,150,12,3351,1541,0.0157,0.2483,0.1529,0.011
enron2740000,2,150,36,5359,2755,0.0587,0.4438,0.2046,0.0171
enron1910000,2,150,52,6314,3271,0.0857,0.5554,0.2436,0.0192
enron3510000,2,150,28,4794,2427,0.0432,0.3842,0.1951,0.0166
enron1870000,2,150,53,6343,3277,0.0876,0.5563,0.2187,0.0191
enron1640000,2,150,60,6661,3396,0.0965,0.6271,0.2183,0.0206
enron5100000,2,150,20,4052,1986,0.0274,0.3175,0.1755,0.011
enron9360000,2,150,11,3190,1411,0.016,0.2354,0.1389,0.0101
enron4070000,2,150,25,4555,2306,0.0365,0.3645,0.199,0.0358
enron7520000,2,150,14,3457,1596,0.0176,0.2562,0.1589,0.0117
enron650000,2,150,152,9687,4610,0.2344,1.1451,0.2747,0.032
enron2460000,2,150,40,5616,2882,0.0622,0.4678,0.2087,0.0183
enron9700000,2,150,11,3145,1412,0.014,0.2342,0.1437,0.0079
enron2250000,2,150,44,5860,3022,0.1046,0.4982,0.2127,0.0182
enron4480000,2,150,22,4385,2218,0.0342,0.3544,0.1964,0.0135
enron4300000,2,150,23,4450,2251,0.0357,0.3612,0.1978,0.0144
enron600000,2,150,164,10042,4812,0.2618,1.2608,0.2686,0.0329
