File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron6310000,2,150,16,3739,1808,0.0483,0.5235,0.5019,0.0322
enron4280000,2,150,23,4432,2219,0.095,1.0014,0.5694,0.042
enron7490000,2,150,14,3457,1591,0.0281,0.5042,0.2292,0.0178
enron8250000,2,150,12,3337,1529,0.0228,0.3647,0.2218,0.0128
enron9520000,2,150,11,3222,1467,0.0215,0.3528,0.2173,0.0155
enron4190000,2,150,24,4491,2292,0.1043,0.5292,0.3,0.0209
enron1750000,2,150,57,6485,3311,0.1354,0.8348,0.3199,0.0325
enron3110000,2,150,32,5064,2581,0.0711,0.5919,0.3341,0.0233
enron10000,2,150,9828,20369,2532,0.4582,12.462,0.4297,0.105
enron2300000,2,150,43,5773,2978,0.1005,0.6963,0.3144,0.0558
enron6860000,2,150,15,3648,1774,0.0289,0.4337,0.2487,0.0438
enron1670000,2,150,59,6683,3451,0.1431,0.869,0.3296,0.0574
enron2810000,2,150,35,5300,2715,0.0784,0.6337,0.3502,0.0518
enron7180000,2,150,14,3619,1757,0.0298,0.41,0.2677,0.0416
enron3020000,2,150,33,5122,2638,0.0742,0.6189,0.2981,0.049
enron3680000,2,150,27,4731,2406,0.0614,0.5697,0.3491,0.0471
enron9530000,2,150,11,3231,1480,0.022,0.3586,0.226,0.0131
enron2560000,2,150,39,5507,2814,0.0891,0.6663,0.2965,0.0262
enron4090000,2,150,25,4563,2319,0.051,0.525,0.2873,0.0456
enron140000,2,150,702,14634,4146,0.5201,5.3485,0.4271,0.0891
enron6170000,2,150,16,3853,1891,0.0352,0.4439,0.2654,0.0458
enron60000,2,150,1638,17145,4008,0.6345,7.9467,0.5466,0.1343
enron2530000,2,150,39,5511,2796,0.0886,0.6565,0.3181,0.0247
enron4750000,2,150,21,4269,2170,0.0468,0.5152,0.2871,0.0216
enron4530000,2,150,22,4339,2169,0.0479,0.5074,0.2818,0.0448
enron2060000,2,150,48,6113,3151,0.1133,0.7819,0.377,0.0563
enron4390000,2,150,23,4387,2208,0.0467,0.5035,0.2779,0.0463
enron7430000,2,150,14,3486,1626,0.0248,0.3831,0.2273,0.0406
enron7610000,2,150,13,3442,1596,0.0274,0.3831,0.2325,0.0407
enron880000,2,150,112,8659,4309,0.2743,1.3868,0.3712,0.0424
enron1980000,2,150,50,6203,3198,0.1238,0.7751,0.3541,0.0594
enron2730000,2,150,36,5352,2740,0.0822,0.6543,0.2975,0.0531
enron7090000,2,150,14,3641,1790,0.0302,0.4153,0.2676,0.0417
enron2380000,2,150,42,5696,2892,0.0968,0.6924,0.3616,0.0531
enron6590000,2,150,15,3693,1772,0.0298,0.4122,0.2404,0.0417
enron1420000,2,150,70,7097,3596,0.1704,0.9542,0.3297,0.0352
enron800000,2,150,123,8948,4374,0.2884,1.4739,0.3574,0.0444
enron8120000,2,150,13,3394,1597,0.0245,0.3783,0.2327,0.0404
enron6390000,2,150,16,3753,1837,0.0336,0.431,0.2617,0.0424
enron7550000,2,150,14,3445,1588,0.0255,0.4367,0.219,0.0425
enron6920000,2,150,15,3651,1767,0.0304,0.4029,0.2428,0.0183
enron5260000,2,150,19,4083,2029,0.0411,0.4658,0.2687,0.0462
enron440000,2,150,224,11067,4895,0.4395,2.2229,0.396,0.1287
enron9050000,2,150,11,3181,1423,0.0201,0.3372,0.2133,0.0132
enron3610000,2,150,28,4862,2534,0.0639,0.593,0.3638,0.0504
enron8260000,2,150,12,3338,1532,0.023,0.3562,0.2188,0.0174
enron4680000,2,150,21,4263,2120,0.0444,0.4941,0.2736,0.0441
enron1590000,2,150,62,6783,3476,0.1487,0.8792,0.3719,0.0574
enron5490000,2,150,18,3967,1967,0.0371,0.4564,0.2653,0.0428
