File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet45,2,62,222,51683,27400,3.6951,26.0958,3.3382,0.2542
rollernet21,2,62,476,69107,31833,8.1953,55.0517,4.8576,0.2371
rollernet339,2,62,30,21149,12788,0.2834,6.6768,3.9734,0.0823
rollernet710,2,62,15,14361,9803,0.121,5.0643,4.7358,0.0387
rollernet964,2,62,11,12148,8618,0.3467,4.7176,4.2173,0.0361
rollernet628,2,62,16,15321,10258,0.1302,5.1671,4.1706,0.3265
rollernet493,2,62,21,17672,11528,0.3769,6.0526,4.5659,0.0772
rollernet330,2,62,31,21388,12784,0.4859,7.1558,6.0591,0.0828
rollernet864,2,62,12,13027,9240,0.0922,6.6989,4.8266,0.0775
rollernet137,2,62,73,31487,16303,0.8058,11.3201,2.6718,0.1058
rollernet440,2,62,23,18633,11859,0.2097,5.9354,3.8966,0.3192
rollernet10,2,62,998,91133,41631,20.7588,113.4147,12.2326,0.369
rollernet177,2,62,57,28233,15046,0.5925,9.5371,2.9707,0.1034
rollernet615,2,62,17,15572,10332,0.1467,5.231,4.5017,0.0411
rollernet473,2,62,22,17900,11487,0.1949,5.8913,3.962,0.3507
rollernet871,2,62,12,12959,9167,0.0938,5.244,4.7337,0.0632
rollernet188,2,62,54,27480,14700,0.5474,9.1804,2.9104,0.0979
rollernet96,2,62,104,36981,19204,1.2935,15.0665,2.7233,0.1212
rollernet66,2,62,152,43582,22917,2.1994,19.5346,2.9337,0.3301
rollernet208,2,62,48,26516,14688,0.4926,8.6913,3.0297,0.0692
rollernet694,2,62,15,14580,9966,0.159,7.7102,5.7223,0.0823
rollernet185,2,62,54,27655,14744,0.5475,9.1332,2.8232,0.0655
rollernet431,2,62,24,18768,11802,0.2077,5.8479,3.9345,0.3314
rollernet786,2,62,13,13658,9481,0.3653,4.9487,4.4148,0.0657
rollernet65,2,62,154,43913,23101,2.2563,19.698,2.901,0.3147
rollernet968,2,62,11,12122,8621,0.3404,4.6637,4.2454,0.0601
rollernet359,2,62,28,20585,12611,0.2552,6.551,3.7133,0.0837
rollernet127,2,62,79,32634,16903,0.8926,12.0262,2.6441,0.1105
rollernet510,2,62,20,17156,11033,0.1722,5.4363,3.8685,0.3428
rollernet641,2,62,16,15245,10279,0.3037,5.2133,4.1908,0.0695
rollernet686,2,62,15,14735,10051,0.1223,5.3334,4.3572,0.066
rollernet619,2,62,17,15483,10295,0.3024,5.451,4.0796,0.0677
rollernet695,2,62,15,14555,9942,0.1169,5.0903,4.4118,0.3145
rollernet78,2,62,128,40451,21094,1.7278,17.157,2.7696,0.1324
rollernet329,2,62,31,21406,12803,0.2839,6.6455,3.4773,0.0796
rollernet829,2,62,13,12994,8926,0.0975,4.9799,4.2433,0.0681
rollernet928,2,62,11,12136,8366,0.3107,4.355,3.9516,0.0676
rollernet509,2,62,20,17172,11040,0.1696,5.4691,4.0246,0.2834
rollernet51,2,62,196,48886,25873,3.0909,23.7934,3.1106,0.3102
rollernet481,2,62,21,17808,11504,0.1798,5.6676,4.0312,0.3231
rollernet950,2,62,11,12175,8584,0.0831,4.7812,4.3361,0.0638
rollernet307,2,62,33,22034,12882,0.3091,6.634,3.4399,0.32
rollernet684,2,62,15,14751,10058,0.3633,5.1735,4.3438,0.0666
rollernet75,2,62,134,41075,21490,1.8248,17.4027,2.7113,0.3213
rollernet541,2,62,19,16804,11092,0.1605,5.5078,4.2464,0.3388
rollernet561,2,62,18,16366,10764,0.3266,5.5532,4.1859,0.0463
rollernet965,2,62,11,12138,8613,0.0787,4.6412,4.2151,0.3117
rollernet927,2,62,11,12138,8361,0.0787,4.5562,4.1287,0.0697
rollernet311,2,62,33,21879,12898,0.2962,6.5867,3.4274,0.3003
rollernet376,2,62,27,20185,12472,0.2436,6.1918,3.8871,0.3423
rollernet902,2,62,12,12358,8496,0.0849,4.4359,4.3125,0.0603
rollernet15,2,62,666,77989,33942,11.7012,78.8442,6.6807,0.426
rollernet371,2,62,27,20310,12571,0.2561,6.4474,4.0421,0.0491
rollernet230,2,62,44,25217,14048,0.4347,7.8087,3.26,0.1
rollernet272,2,62,37,23384,13419,0.3541,7.4506,3.4038,0.0858
rollernet411,2,62,25,19280,12101,0.225,6.0906,3.926,0.355
rollernet690,2,62,15,14654,10003,0.12,5.3698,4.3891,0.0772
rollernet942,2,62,11,12173,8522,0.0808,4.5581,4.103,0.3219
rollernet556,2,62,18,16468,10847,0.149,5.6921,4.398,0.089
rollernet237,2,62,43,25097,14302,0.4197,7.846,3.2062,0.3645
rollernet245,2,62,41,24599,14022,0.4136,7.6329,3.2632,0.3609
rollernet472,2,62,22,17980,11562,0.1926,5.7618,3.9407,0.3167
rollernet913,2,62,11,12202,8370,0.0804,4.6358,4.221,0.0385
rollernet543,2,62,19,16836,11146,0.1622,5.6159,4.3251,0.3066
rollernet669,2,62,15,14783,9968,0.1261,5.2773,4.4463,0.0732
rollernet742,2,62,14,14018,9543,0.1089,4.9224,4.1752,0.315
rollernet352,2,62,29,20703,12606,0.4308,6.4945,3.56,0.0824
rollernet815,2,62,13,13217,9039,0.1013,4.8637,4.3708,0.0667
rollernet277,2,62,37,23124,13267,0.3413,7.0324,3.2885,0.2969
rollernet906,2,62,12,12266,8418,0.087,4.4251,4.3392,0.0311
rollernet35,2,62,286,57341,29872,5.4531,34.3586,3.6861,0.216
rollernet315,2,62,32,21949,13163,0.3082,6.873,3.556,0.058
rollernet233,2,62,43,25163,14110,0.6123,8.1355,3.0229,0.0888
rollernet754,2,62,14,13904,9550,0.1072,5.1532,4.4056,0.0822
rollernet476,2,62,21,17767,11357,0.1769,5.6274,4.0243,0.3077
rollernet678,2,62,15,14776,10055,0.3738,5.2817,4.357,0.0659
rollernet459,2,62,22,18155,11570,0.1994,5.9285,4.2032,0.0778
rollernet498,2,62,21,17416,11287,0.1788,5.573,3.9775,0.3334
rollernet623,2,62,17,15327,10213,0.3114,5.3798,4.0489,0.0744
rollernet802,2,62,13,13395,9167,0.0979,4.7341,4.1897,0.3139
rollernet660,2,62,16,14976,10085,0.1283,5.2969,4.3932,0.0684
rollernet618,2,62,17,15504,10293,0.1318,5.1599,4.0547,0.3052
rollernet565,2,62,18,16344,10781,0.3172,5.5467,4.1646,0.0716
rollernet259,2,62,39,24084,13893,0.3906,7.5799,3.4343,0.0877
rollernet375,2,62,27,20157,12413,0.2432,6.1829,3.8273,0.3492
rollernet638,2,62,16,15284,10298,0.3966,5.1847,4.1692,0.0438
rollernet150,2,62,67,30202,15658,0.8541,10.5372,2.5601,0.1038
rollernet649,2,62,16,15064,10102,0.3668,5.0673,4.1118,0.0748
rollernet485,2,62,21,17760,11529,0.1872,5.8755,4.2487,0.0446
rollernet963,2,62,11,12161,8634,0.329,4.6435,1123.2898,0.0625
rollernet1001,2,62,10,11721,8296,0.0775,4.6268,4.3893,0.273
rollernet412,2,62,25,19234,12079,0.3756,5.9172,3.7481,0.0858
rollernet614,2,62,17,15581,10331,0.1308,5.1274,4.0408,0.076
rollernet385,2,62,26,19777,12131,0.2274,5.7101,3.57,0.2564
rollernet254,2,62,40,24032,13558,0.3767,7.3349,3.0952,0.2677
rollernet289,2,62,35,22945,13615,0.3508,7.0667,3.7147,0.3439
rollernet999,2,62,10,11742,8334,0.0747,4.7044,4.4546,0.0621
rollernet336,2,62,30,21185,12724,0.2702,6.4922,3.7716,0.333
rollernet966,2,62,11,12129,8610,0.0833,4.6802,4.4823,0.0345
rollernet487,2,62,21,17713,11491,0.1775,5.7099,4.1596,0.3361
rollernet152,2,62,66,30283,15942,0.6822,10.3,2.7139,0.3509
rollernet226,2,62,45,25682,14518,0.4323,8.1655,3.2236,0.3508
rollernet74,2,62,135,41502,21749,1.9698,17.7651,2.9748,0.1363
rollernet889,2,62,12,12644,8818,0.0886,4.7199,4.2346,0.3337
rollernet231,2,62,44,25100,13951,0.5719,7.9678,2.9247,0.0933
rollernet905,2,62,12,12272,8424,0.0854,4.5732,4.2113,0.0667
rollernet434,2,62,23,18628,11724,0.2024,5.8037,3.8295,0.2887
rollernet856,2,62,12,13039,9206,0.0929,5.0929,4.6939,0.0711
rollernet696,2,62,15,14540,9924,0.1181,5.0816,4.1456,0.3284
rollernet580,2,62,18,16165,10762,0.1479,5.5512,4.4562,0.0951
rollernet921,2,62,11,12142,8326,0.3244,4.356,3.9678,0.0659
rollernet590,2,62,17,16010,10668,0.1468,5.6663,4.5168,0.0699
rollernet334,2,62,30,21303,12867,0.2732,6.8211,3.9052,0.3196
rollernet788,2,62,13,13622,9449,0.3617,4.9707,4.4753,0.0387
rollernet842,2,62,12,13052,9139,0.0899,4.8283,4.3815,0.3323
rollernet579,2,62,18,16174,10767,0.1515,5.5918,4.542,0.0378
rollernet477,2,62,21,17795,11422,0.1846,5.6788,4.6157,0.3344
rollernet969,2,62,11,12103,8598,0.082,4.7793,4.4263,0.0626
rollernet492,2,62,21,17690,11534,0.1779,5.716,4.1519,0.3216
rollernet547,2,62,19,16817,11134,0.4016,5.5584,4.3913,0.0772
rollernet810,2,62,13,13255,9057,0.1011,4.8964,4.3777,0.0623
rollernet993,2,62,11,11892,8489,0.0826,4.7397,4.7068,0.0791
rollernet474,2,62,22,17846,11437,0.19,6.0526,4.4143,0.3277
rollernet278,2,62,36,23117,13303,0.3338,7.2536,3.3093,0.3339
rollernet161,2,62,62,29552,15662,0.6326,9.9339,3.0241,0.321
rollernet779,2,62,13,13685,9478,0.7498,6.4322,8.4439,0.1042
rollernet655,2,62,16,15021,10075,0.1328,5.6959,5.268,0.0635
rollernet409,2,62,25,19342,12112,0.9238,11.2589,4.8175,0.1491
rollernet64,2,62,156,44184,23310,2.3327,22.9227,3.0178,0.1472
rollernet996,2,62,11,11812,8419,0.1113,5.2333,5.6518,0.4342
rollernet418,2,62,24,19139,12090,0.3319,11.7399,7.0761,0.1048
rollernet667,2,62,15,14781,9926,0.1564,7.019,7.2048,0.4076
rollernet423,2,62,24,19026,12041,0.3879,6.1281,4.1954,0.0469
rollernet325,2,62,31,21480,12808,0.3084,7.7473,3.9083,0.057
rollernet192,2,62,52,27338,14796,0.5287,9.2558,3.0245,0.0933
rollernet524,2,62,20,16900,10991,0.4229,5.545,4.0478,0.0724
rollernet716,2,62,14,14243,9682,0.1137,5.2041,4.3698,0.0712
rollernet542,2,62,19,16818,11112,0.1602,5.5192,4.2878,0.3285
rollernet347,2,62,29,21014,12887,0.4415,6.6733,3.7359,0.0522
rollernet134,2,62,75,31961,16666,0.8273,11.5593,2.6471,0.2587
rollernet503,2,62,20,17309,11171,0.1784,5.6371,4.0225,0.3389
rollernet720,2,62,14,14249,9709,0.1159,5.2453,4.4054,0.0659
rollernet386,2,62,26,19755,12134,0.2287,6.003,3.7863,0.2989
rollernet144,2,62,70,30971,16177,0.7589,10.721,2.6421,0.3184
rollernet341,2,62,30,21187,12901,0.4473,8.777,6.5895,0.3647
rollernet363,2,62,28,20583,12711,0.2616,9.8919,3.9409,0.3547
rollernet713,2,62,14,14268,9713,0.1133,4.9981,4.5545,0.0668
rollernet890,2,62,12,12617,8784,0.3407,4.6203,4.1727,0.0675
rollernet897,2,62,12,12480,8618,0.0844,4.5208,4.0637,0.3002
rollernet598,2,62,17,15832,10468,0.1457,5.4455,4.3457,0.0735
rollernet146,2,62,69,30672,16049,0.7389,10.7179,2.6887,0.1018
rollernet180,2,62,56,28075,14996,0.5692,9.423,2.8719,0.0947
rollernet118,2,62,85,33799,17513,0.9681,12.6997,3.1218,0.113
rollernet419,2,62,24,19120,12067,0.2216,6.9928,4.0695,0.3551
rollernet988,2,62,11,11990,8545,0.0797,4.6938,7.9594,0.0605
rollernet613,2,62,17,15585,10326,0.4438,6.0245,4.6848,0.05
rollernet759,2,62,14,13847,9525,0.1106,5.759,4.7924,0.067
rollernet248,2,62,41,24469,13938,0.4075,8.0345,3.3274,0.3284
rollernet584,2,62,18,16050,10657,0.3877,5.5093,4.2486,0.0736
rollernet244,2,62,41,24663,14050,0.576,7.8699,3.216,0.0873
rollernet708,2,62,15,14409,9836,0.1186,5.6063,4.6113,0.0732
rollernet145,2,62,69,30949,16241,0.9103,11.5014,2.6305,0.1043
rollernet56,2,62,179,46991,24975,2.7914,22.4329,3.1134,0.3504
rollernet858,2,62,12,13039,9219,0.095,5.1986,4.6627,0.3113
rollernet281,2,62,36,23123,13472,0.5177,7.4982,3.592,0.0859
rollernet528,2,62,19,16860,11024,0.187,8.0557,7.3286,0.086
rollernet811,2,62,13,13253,9061,0.284,7.4093,10.3395,0.7233
rollernet733,2,62,14,14079,9517,0.1106,5.7939,5.1379,0.0803
rollernet956,2,62,11,12193,8641,0.3579,6.3957,5.725,0.066
rollernet727,2,62,14,14169,9594,0.1201,7.2171,5.9236,0.3166
rollernet387,2,62,26,19783,12220,0.6466,9.8962,6.3902,0.1244
rollernet717,2,62,14,14238,9673,0.1484,9.0823,6.313,0.107
rollernet644,2,62,16,15131,10144,0.1376,7.2969,6.3578,0.3446
rollernet839,2,62,12,13037,9101,0.1037,5.7238,5.3493,0.0626
rollernet41,2,62,244,53741,28341,4.8698,36.628,4.6297,0.3929
rollernet919,2,62,11,12140,8302,0.0962,5.4822,5.817,0.4173
rollernet491,2,62,21,17687,11498,0.1902,10.297,5.6669,0.0842
rollernet81,2,62,124,39813,20770,2.0463,23.0831,3.6345,0.3162
rollernet175,2,62,58,28518,15265,0.7773,13.1475,4.4192,0.109
rollernet770,2,62,13,13689,9448,0.1132,5.3306,6.2051,0.0766
rollernet760,2,62,14,13831,9507,0.408,8.736,6.4806,0.0747
rollernet18,2,62,555,72913,32341,16.3852,91.9999,7.5352,0.4314
rollernet133,2,62,76,31966,16556,1.2259,15.6457,3.1644,0.1413
rollernet447,2,62,23,18467,11747,0.2316,6.6851,5.0698,0.4608
rollernet849,2,62,12,13052,9181,0.1145,6.7388,6.4938,0.0658
rollernet734,2,62,14,14053,9499,0.4297,7.3762,4.8292,0.0973
rollernet190,2,62,53,27471,14869,0.9242,11.8151,6.2505,0.1205
rollernet110,2,62,91,34789,18045,1.2346,18.1996,5.0143,0.1252
rollernet214,2,62,47,26063,14314,0.5165,10.047,3.4451,0.3889
rollernet426,2,62,24,18988,12001,0.2367,6.5648,4.8097,0.403
rollernet781,2,62,13,13681,9490,0.143,6.9454,5.3668,0.0757
rollernet181,2,62,56,28108,15116,0.6001,9.7535,2.9709,0.0994
rollernet879,2,62,12,12817,9005,0.3295,4.9327,4.4359,0.0324
rollernet369,2,62,28,20355,12583,0.2714,6.6797,4.071,0.0824
rollernet331,2,62,31,21398,12841,0.2949,6.7243,3.6942,0.3467
rollernet497,2,62,21,17504,11368,0.1907,5.7585,4.1423,0.3533
rollernet952,2,62,11,12186,8606,0.0839,4.9067,4.4354,0.0629
rollernet617,2,62,17,15537,10326,0.3772,5.2886,4.1579,0.085
rollernet501,2,62,20,17359,11246,0.1835,5.834,4.232,0.0472
rollernet755,2,62,14,13886,9535,0.3653,4.9901,4.2837,0.0648
rollernet453,2,62,23,18368,11755,0.2095,6.1393,4.1672,0.0773
rollernet138,2,62,73,31546,16569,0.8218,11.3942,2.7899,0.108
rollernet403,2,62,25,19621,12391,0.2364,6.2424,4.0917,0.3447
rollernet892,2,62,12,12553,8706,0.0882,4.8282,4.3825,0.0787
rollernet723,2,62,14,14225,9669,0.1127,4.9816,4.2404,0.324
rollernet820,2,62,13,13127,8968,0.1026,4.8664,4.3469,0.0621
rollernet683,2,62,15,14772,10084,0.3503,5.1686,4.4431,0.0694
rollernet876,2,62,12,12877,9071,0.0907,4.9103,4.4507,0.2966
rollernet402,2,62,25,19621,12394,0.3932,6.3643,4.0926,0.0744
rollernet877,2,62,12,12861,9054,0.0936,5.0366,4.6253,0.0614
rollernet513,2,62,20,17121,11028,0.1766,5.5756,4.0375,0.3184
rollernet540,2,62,19,16767,11033,0.1635,5.7246,4.4891,0.0928
rollernet427,2,62,24,18943,11967,0.2186,6.176,4.1431,0.0515
rollernet916,2,62,11,12176,8332,0.0808,4.4364,4.2188,0.0645
rollernet935,2,62,11,12132,8414,0.304,4.4829,4.1164,0.0585
rollernet39,2,62,256,54937,28917,4.5129,30.1579,3.6215,0.184
rollernet800,2,62,13,13454,9236,0.1051,4.9556,7.1574,0.0408
rollernet783,2,62,13,13654,9462,0.1054,5.9953,4.5714,0.0713
rollernet348,2,62,29,20923,12806,0.2636,6.4327,3.8358,0.3248
rollernet799,2,62,13,13485,9279,0.3537,4.8154,4.3156,0.0694
rollernet268,2,62,38,23583,13613,0.3714,7.5963,3.9042,0.086
rollernet85,2,62,118,38904,20227,1.8037,17.9703,3.0727,0.1311
rollernet335,2,62,30,21230,12779,0.301,7.288,4.6271,0.055
rollernet656,2,62,16,15010,10066,0.4678,5.6111,7.0495,0.07
rollernet367,2,62,28,20379,12541,0.281,11.4051,7.2411,0.0868
rollernet400,2,62,25,19641,12368,0.2538,10.3219,6.3894,0.4115
rollernet391,2,62,26,19752,12248,0.2837,11.1104,6.2984,0.4215
rollernet666,2,62,15,14812,9959,0.1402,6.5765,6.3938,0.0719
rollernet931,2,62,11,12136,8390,0.3824,4.874,4.9868,0.0678
rollernet634,2,62,16,15267,10223,0.1384,5.6202,4.6746,0.3317
rollernet287,2,62,35,22906,13450,0.3633,7.794,3.9588,0.2924
rollernet846,2,62,12,13053,9160,0.0994,5.4271,5.4994,0.035
rollernet285,2,62,36,22962,13449,0.3727,10.4926,7.5535,0.1052
rollernet120,2,62,84,33304,17089,1.6568,20.5533,3.2214,0.1385
