File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
rollernet2741,2,62,4,6142,246,4176,57,61,61,60
rollernet3254,2,62,4,5329,243,3401,58,59,59,58
rollernet3202,2,62,4,5508,244,3573,57,60,60,58
rollernet2756,2,62,4,6126,246,4161,57,61,60,60
rollernet2408,2,62,5,6822,306,4738,61,61,60,73
rollernet1251,2,62,8,10081,487,7070,102,117,118,123
rollernet3470,2,62,3,4988,185,3078,31,30,31,31
rollernet3469,2,62,3,4988,185,3078,31,30,31,31
rollernet3448,2,62,3,4985,185,3076,31,30,31,31
rollernet1284,2,62,8,10050,487,7118,106,116,118,121
rollernet1228,2,62,9,10422,545,7399,115,120,120,134
rollernet1779,2,62,6,8367,369,6020,78,89,90,80
rollernet3333,2,62,3,4978,185,3068,31,30,31,31
rollernet1706,2,62,6,8433,369,6071,84,90,91,91
rollernet1177,2,62,9,10867,546,7868,116,120,120,132
rollernet3190,2,62,4,5526,244,3591,57,60,60,58
rollernet3464,2,62,3,4988,185,3078,31,30,31,31
rollernet1830,2,62,6,8248,369,5913,74,90,91,80
rollernet3111,2,62,4,5728,244,3796,56,60,60,58
rollernet2388,2,62,5,6882,306,4794,61,61,61,73
rollernet3495,2,62,3,4988,185,3078,31,30,31,31
rollernet1252,2,62,8,10085,487,7076,102,117,118,124
rollernet2544,2,62,4,6253,247,4233,57,61,61,49
rollernet1303,2,62,8,10033,486,7154,110,116,117,128
rollernet2521,2,62,4,6266,247,4246,57,61,61,49
rollernet3441,2,62,3,4986,185,3078,31,30,31,31
rollernet1933,2,62,6,7857,367,5616,81,89,89,78
rollernet2113,2,62,5,7334,307,5178,61,61,61,75
rollernet1937,2,62,6,7833,367,5597,81,90,89,82
rollernet3457,2,62,3,4986,185,3076,31,30,31,31
rollernet2281,2,62,5,7152,307,5037,61,61,61,73
rollernet3315,2,62,4,5072,236,3156,47,50,51,50
rollernet3152,2,62,4,5621,244,3694,56,60,60,58
rollernet1974,2,62,6,7661,364,5468,80,87,87,77
rollernet2760,2,62,4,6122,246,4156,57,59,59,60
