File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet2741,2,62,4,6142,4176,0.0229,4.2929,2.8633,0.0599
rollernet3254,2,62,4,5329,3401,0.0194,2.0597,2.213,0.0159
rollernet3202,2,62,4,5508,3573,0.0306,3.738,4.0322,0.2423
rollernet2756,2,62,4,6126,4161,0.0217,2.5771,2.6755,0.0228
rollernet2408,2,62,5,6822,4738,0.0245,2.9463,3.1122,0.1639
rollernet1251,2,62,8,10081,7070,0.2303,4.3399,4.9587,0.042
rollernet3470,2,62,3,4988,3078,0.0136,1.6545,1.5939,0.0197
rollernet3469,2,62,3,4988,3078,0.0121,1.7027,1.6281,0.1964
rollernet3448,2,62,3,4985,3076,0.0173,1.6203,1.5805,0.014
rollernet1284,2,62,8,10050,7118,0.0896,5.2004,5.2779,0.2419
rollernet1228,2,62,9,10422,7399,0.065,4.2756,7.3946,0.1686
rollernet1779,2,62,6,8367,6020,0.0387,4.2508,3.719,0.2006
rollernet3333,2,62,3,4978,3068,0.0277,2.1542,2.5111,0.039
rollernet1706,2,62,6,8433,6071,0.042,6.4639,3.7451,0.0238
rollernet1177,2,62,9,10867,7868,0.0709,4.7642,5.9009,0.033
rollernet3190,2,62,4,5526,3591,0.0196,2.6376,2.1943,0.0211
rollernet3464,2,62,3,4988,3078,0.0127,2.3175,1.6031,0.014
rollernet1830,2,62,6,8248,5913,0.041,4.4983,3.7963,0.0327
rollernet3111,2,62,4,5728,3796,0.1519,2.5378,2.4667,0.0176
rollernet2388,2,62,5,6882,4794,0.0269,3.1635,4.1205,0.0224
rollernet3495,2,62,3,4988,3078,0.0195,2.0181,2.2962,0.2628
rollernet1252,2,62,8,10085,7076,0.0589,4.4939,4.4854,0.0294
rollernet2544,2,62,4,6253,4233,0.0241,2.8631,2.7789,0.0291
rollernet1303,2,62,8,10033,7154,0.0601,4.4808,4.4932,0.0326
rollernet2521,2,62,4,6266,4246,0.0244,3.6691,3.0776,0.0252
rollernet3441,2,62,3,4986,3078,0.0138,1.7311,1.9907,0.0212
rollernet1933,2,62,6,7857,5616,0.0377,4.0985,3.4943,0.0226
rollernet2113,2,62,5,7334,5178,0.0288,3.2722,3.3025,0.1653
rollernet1937,2,62,6,7833,5597,0.0407,4.5645,5.2565,0.0335
rollernet3457,2,62,3,4986,3076,0.0259,2.8033,2.0529,0.0296
rollernet2281,2,62,5,7152,5037,0.2932,4.1724,4.0935,0.032
rollernet3315,2,62,4,5072,3156,0.0158,1.7705,1.7439,0.0147
rollernet3152,2,62,4,5621,3694,0.0266,3.158,2.2966,0.0193
rollernet1974,2,62,6,7661,5468,0.041,3.3637,3.9446,0.0233
rollernet2760,2,62,4,6122,4156,0.0208,3.1323,3.5459,0.026
rollernet1169,2,62,9,10890,7875,0.1036,5.9484,6.1673,0.274
rollernet2238,2,62,5,7256,5143,0.1784,3.8583,3.4316,0.0319
rollernet2952,2,62,4,5998,4054,0.0293,2.518,3.1777,0.0181
rollernet1855,2,62,6,8156,5831,0.04,4.6472,3.5399,0.0197
rollernet3120,2,62,4,5708,3777,0.2142,2.497,3.0028,0.0175
rollernet2039,2,62,5,7382,5220,0.0364,3.6979,3.5778,0.0317
rollernet3332,2,62,3,4978,3068,0.0128,2.0348,1.6582,0.0171
rollernet3042,2,62,4,5854,3911,0.0211,2.2985,2.3261,0.022
rollernet3405,2,62,3,4981,3074,0.0331,2.2572,2.3262,0.0309
rollernet2158,2,62,5,7327,5189,0.0282,3.8253,3.4328,0.0271
rollernet3055,2,62,4,5834,3896,0.0328,3.7305,4.5047,0.0216
rollernet2391,2,62,5,6876,4788,0.027,3.2669,4.3807,0.0208
rollernet2981,2,62,4,5955,4006,0.0275,3.0928,3.1933,0.0221
rollernet1089,2,62,10,11288,8022,0.0894,6.1442,4.7947,0.0378
rollernet2081,2,62,5,7338,5166,0.0283,3.3759,3.0158,0.0211
rollernet2813,2,62,4,6079,4117,0.209,15.3799,3.3062,0.0144
rollernet1019,2,62,10,11640,8216,0.1541,4.856,7.6315,0.0732
