File,Gamma,G_edges,BBR19,varBBR19
gen_B1,2,953.8519,607.7225,163590.1352
gen_B1,3,496.4843,321.2035,179091.03
gen_B1,4,331.5397,214.6591,179803.7666
gen_B1,5,248.6724,161.0117,179834.4594
gen_B1,6,198.9382,128.8096,179835.0386
gen_B1,7,165.7819,107.3413,179835.0386
gen_B1,8,142.0987,92.0069,179835.0386
gen_B1,9,124.3364,80.506,179835.0386
gen_B1,10,110.5212,71.5609,179835.0386
gen_B1,11,99.4691,64.4048,179835.0386
gen_B1,12,90.4265,58.5498,179835.0386
gen_B1,13,82.8909,53.6707,179835.0386
gen_B1,14,76.5147,49.5422,179835.0386
gen_B1,15,71.0494,46.0034,179835.0386
gen_B1,16,66.3127,42.9365,179835.0386
gen_B1,17,62.1682,40.253,179835.0386
gen_B1,18,58.5112,37.8852,179835.0386
gen_B1,19,55.2606,35.7804,179835.0386
gen_B1,20,52.3522,33.8973,179835.0386
gen_B1,21,49.7346,32.2024,179835.0386
gen_B1,22,47.3662,30.669,179835.0386
gen_B1,23,45.2132,29.2749,179835.0386
gen_B1,24,43.2474,28.0021,179835.0386
gen_B1,25,41.4455,26.8353,179835.0386
gen_B1,26,39.7876,25.7619,179835.0386
gen_B1,27,38.2574,24.7711,179835.0386
gen_B1,28,36.8404,23.8536,179835.0386
gen_B1,29,35.5247,23.0017,179835.0386
gen_B1,30,34.2997,22.2086,179835.0386
gen_B1,31,33.1564,21.4683,179835.0386
gen_B1,32,32.0868,20.7757,179835.0386
gen_B1,33,31.0841,20.1265,179835.0386
gen_B1,34,30.1422,19.5166,179835.0386
gen_B1,35,29.2556,18.9426,179835.0386
gen_B1,36,28.4197,18.4014,179835.0386
gen_B1,37,27.6303,17.8902,179835.0386
gen_B1,38,26.8835,17.4067,179835.0386
gen_B1,39,26.1761,16.9486,179835.0386
gen_B1,40,25.5049,16.5141,179835.0386
gen_B1,41,24.8673,16.1012,179835.0386
gen_B1,42,24.2608,15.7085,179835.0386
gen_B1,43,23.6831,15.3345,179835.0386
gen_B1,44,23.1324,14.9779,179835.0386
gen_B1,45,22.6066,14.6375,179835.0386
gen_B1,46,22.1042,14.3122,179835.0386
gen_B1,47,21.6237,14.001,179835.0386
gen_B1,48,21.1636,13.7031,179835.0386
gen_B1,49,20.7227,13.4177,179835.0386
gen_B1,50,20.2998,13.1438,179835.0386
gen_B1,51,19.8938,12.881,179835.0386
gen_B1,52,19.5037,12.6284,179835.0386
gen_B1,53,19.1287,12.3855,179835.0386
gen_B1,54,18.7678,12.1518,179835.0386
gen_B1,55,18.4202,11.9268,179835.0386
gen_B1,56,18.0853,11.71,179835.0386
gen_B1,57,17.7623,11.5009,179835.0386
gen_B1,58,17.4507,11.2991,179835.0386
gen_B1,59,17.1498,11.1043,179835.0386
gen_B1,60,16.8592,10.9161,179835.0386
gen_B1,61,16.5782,10.7341,179835.0386
gen_B1,62,16.3064,10.5582,179835.0386
gen_B1,63,16.0434,10.3879,179835.0386
gen_B1,64,15.7887,10.223,179835.0386
gen_B1,65,15.542,10.0633,179835.0386
gen_B1,66,15.3029,9.9084,179835.0386
gen_B1,67,15.0711,9.7583,179835.0386
gen_B1,68,14.8461,9.6127,179835.0386
gen_B1,69,14.6278,9.4713,179835.0386
gen_B1,70,14.4158,9.334,179835.0386
gen_B1,71,14.2099,9.2007,179835.0386
gen_B1,72,14.0097,9.0711,179835.0386
gen_B1,73,13.8152,8.9451,179835.0386
gen_B1,74,13.6259,8.8226,179835.0386
gen_B1,75,13.4418,8.7034,179835.0386
gen_B1,76,13.2625,8.5873,179835.0386
gen_B1,77,13.088,8.4743,179835.0386
gen_B1,78,12.9181,8.3643,179835.0386
gen_B1,79,12.7525,8.257,179835.0386
gen_B1,80,12.591,8.1525,179835.0386
gen_B1,81,12.4336,8.0506,179835.0386
gen_B1,82,12.2801,7.9512,179835.0386
gen_B1,83,12.1304,7.8542,179835.0386
gen_B1,84,11.9842,7.7596,179835.0386
gen_B1,85,11.8416,7.6672,179835.0386
gen_B1,86,11.7022,7.577,179835.0386
gen_B1,87,11.5662,7.4889,179835.0386
gen_B1,88,11.4332,7.4029,179835.0386
gen_B1,89,11.3033,7.3187,179835.0386
gen_B1,90,11.1763,7.2365,179835.0386
gen_B1,91,11.0521,7.1561,179835.0386
gen_B1,92,10.9307,7.0775,179835.0386
gen_B1,93,10.8119,7.0005,179835.0386
gen_B1,94,10.6956,6.9252,179835.0386
gen_B1,95,10.5818,6.8516,179835.0386
gen_B1,96,10.4704,6.7795,179835.0386
gen_B1,97,10.3614,6.7088,179835.0386
gen_B1,98,10.2545,6.6397,179835.0386
gen_B1,99,10.1499,6.5719,179835.0386
gen_B1,100,10.0474,6.5055,179835.0386
gen_B1,101,9.9469,6.4405,179835.0386
gen_B1,102,9.8484,6.3767,179835.0386
gen_B1,103,9.7519,6.3142,179835.0386
gen_B1,104,9.6572,6.2529,179835.0386
gen_B1,105,9.5643,6.1928,179835.0386
gen_B1,106,9.4732,6.1338,179835.0386
gen_B1,107,9.3839,6.0759,179835.0386
gen_B1,108,9.2962,6.0191,179835.0386
gen_B1,109,9.2101,5.9634,179835.0386
gen_B1,110,9.1256,5.9087,179835.0386
gen_B1,111,9.0426,5.855,179835.0386
gen_B1,112,8.9612,5.8022,179835.0386
gen_B1,113,8.8812,5.7504,179835.0386
gen_B1,114,8.8026,5.6995,179835.0386
gen_B1,115,8.7254,5.6495,179835.0386
gen_B1,116,8.6495,5.6004,179835.0386
gen_B1,117,8.5749,5.5521,179835.0386
gen_B1,118,8.5016,5.5047,179835.0386
gen_B1,119,8.4296,5.458,179835.0386
gen_B1,120,8.3587,5.4122,179835.0386
gen_B1,121,8.2891,5.3671,179835.0386
gen_B1,122,8.2206,5.3227,179835.0386
gen_B1,123,8.1532,5.2791,179835.0386
gen_B1,124,8.0869,5.2362,179835.0386
gen_B1,125,8.0217,5.1939,179835.0386
gen_B1,126,7.9575,5.1524,179835.0386
gen_B1,127,7.8944,5.1115,179835.0386
gen_B1,128,7.8322,5.0712,179835.0386
gen_B1,129,7.771,5.0316,179835.0386
gen_B1,130,7.7108,4.9926,179835.0386
gen_B1,131,7.6515,4.9542,179835.0386
gen_B1,132,7.5931,4.9164,179835.0386
gen_B1,133,7.5355,4.8792,179835.0386
gen_B1,134,7.4789,4.8425,179835.0386
gen_B1,135,7.4231,4.8063,179835.0386
gen_B1,136,7.3681,4.7707,179835.0386
gen_B1,137,7.3139,4.7356,179835.0386
gen_B1,138,7.2605,4.7011,179835.0386
gen_B1,139,7.2079,4.667,179835.0386
gen_B1,140,7.1561,4.6334,179835.0386
gen_B1,141,7.1049,4.6003,179835.0386
gen_B1,142,7.0545,4.5677,179835.0386
