File,Gamma,G_edges,BBR19,varBBR19
gen_B1,2,0.0071,0.0844,0.0208
gen_B1,3,0.0062,0.0423,0.0166
gen_B1,4,0.0059,0.0282,0.013
gen_B1,5,0.0058,0.0212,0.0105
gen_B1,6,0.0056,0.0169,0.0089
gen_B1,7,0.0057,0.0141,0.0075
gen_B1,8,0.0058,0.0121,0.0065
gen_B1,9,0.0057,0.0106,0.0058
gen_B1,10,0.0056,0.0094,0.0053
gen_B1,11,0.0055,0.0085,0.0048
gen_B1,12,0.0055,0.0077,0.0045
gen_B1,13,0.0055,0.0071,0.0041
gen_B1,14,0.0057,0.0065,0.0037
gen_B1,15,0.0059,0.0061,0.0033
gen_B1,16,0.0061,0.0057,0.003
gen_B1,17,0.0062,0.0053,0.0028
gen_B1,18,0.0061,0.005,0.0027
gen_B1,19,0.0061,0.0047,0.0025
gen_B1,20,0.0062,0.0045,0.0024
gen_B1,21,0.0062,0.0042,0.0023
gen_B1,22,0.0061,0.004,0.0022
gen_B1,23,0.0061,0.0039,0.0021
gen_B1,24,0.006,0.0037,0.002
gen_B1,25,0.006,0.0035,0.0019
gen_B1,26,0.006,0.0034,0.0019
gen_B1,27,0.006,0.0033,0.0018
gen_B1,28,0.006,0.0031,0.0017
gen_B1,29,0.006,0.003,0.0017
gen_B1,30,0.006,0.0029,0.0016
gen_B1,31,0.006,0.0028,0.0016
gen_B1,32,0.006,0.0027,0.0015
gen_B1,33,0.006,0.0027,0.0015
gen_B1,34,0.0059,0.0026,0.0015
gen_B1,35,0.0059,0.0025,0
gen_B1,36,0.0059,0.0024,0
gen_B1,37,0.0059,0.0024,0
gen_B1,38,0.0058,0.0023,0
gen_B1,39,0.0058,0.0022,0
gen_B1,40,0.0058,0.0022,0
gen_B1,41,0.0058,0.0021,0
gen_B1,42,0.0058,0.0021,0
gen_B1,43,0.0057,0.002,0
gen_B1,44,0.0057,0.002,0
gen_B1,45,0.0057,0.0019,0
gen_B1,46,0.0057,0.0019,0
gen_B1,47,0.0057,0.0019,0
gen_B1,48,0.0057,0.0018,0
gen_B1,49,0.0057,0.0018,0
