File,Gamma,DEC,varDEC
gen_enron,2,358.1988,9.1209
gen_enron,3,310.4411,5.5086
gen_enron,4,274.0766,4.0868
gen_enron,5,245.049,3.3117
gen_enron,6,221.415,2.8149
gen_enron,7,201.8402,2.4638
gen_enron,8,185.2642,2.2001
gen_enron,9,171.0703,1.9934
gen_enron,10,158.7236,1.826
gen_enron,11,147.9332,1.6867
gen_enron,12,138.4268,1.5685
gen_enron,13,129.9941,1.4665
gen_enron,14,122.4843,1.3775
gen_enron,15,115.7599,1.2989
gen_enron,16,109.6924,1.2291
gen_enron,17,104.2015,1.1665
gen_enron,18,99.2043,1.1101
gen_enron,19,94.6435,1.059
gen_enron,20,90.465,1.0125
gen_enron,21,86.6193,0.9699
gen_enron,22,83.0754,0.9307
gen_enron,23,79.7965,0.8947
gen_enron,24,76.758,0.8613
gen_enron,25,73.9331,0.8304
gen_enron,26,71.2997,0.8016
gen_enron,27,68.8406,0.7747
gen_enron,28,66.5374,0.7496
gen_enron,29,64.3762,0.7261
gen_enron,30,62.3433,0.704
gen_enron,31,60.4286,0.6833
gen_enron,32,58.6225,0.6637
gen_enron,33,56.9161,0.6452
gen_enron,34,55.3017,0.6277
gen_enron,35,53.7726,0.6112
gen_enron,36,52.3217,0.5955
gen_enron,37,50.9439,0.5805
gen_enron,38,49.6337,0.5663
gen_enron,39,48.3865,0.5528
gen_enron,40,47.1976,0.54
gen_enron,41,46.0635,0.5277
gen_enron,42,44.9803,0.5159
gen_enron,43,43.9447,0.5047
gen_enron,44,42.9537,0.4939
gen_enron,45,42.0047,0.4836
gen_enron,46,41.0951,0.4737
gen_enron,47,40.2227,0.4642
gen_enron,48,39.3851,0.4551
gen_enron,49,38.5806,0.4464
gen_enron,50,37.8072,0.4379
gen_enron,51,37.0632,0.4298
gen_enron,52,36.347,0.422
gen_enron,53,35.6572,0.4144
gen_enron,54,34.9924,0.4071
gen_enron,55,34.3513,0.4001
gen_enron,56,33.7326,0.3933
gen_enron,57,33.1354,0.3867
gen_enron,58,32.5585,0.3804
gen_enron,59,32.0011,0.3742
gen_enron,60,31.462,0.3683
gen_enron,61,30.9406,0.3625
gen_enron,62,30.4359,0.3569
gen_enron,63,29.9472,0.3515
gen_enron,64,29.4736,0.3462
gen_enron,65,29.0147,0.3411
gen_enron,66,28.5696,0.3362
gen_enron,67,28.1379,0.3313
gen_enron,68,27.7189,0.3267
gen_enron,69,27.3121,0.3221
gen_enron,70,26.917,0.3177
gen_enron,71,26.5331,0.3134
gen_enron,72,26.1599,0.3092
gen_enron,73,25.797,0.3051
gen_enron,74,25.4439,0.3011
gen_enron,75,25.1003,0.2973
gen_enron,76,24.7658,0.2935
gen_enron,77,24.4401,0.2898
gen_enron,78,24.1228,0.2862
gen_enron,79,23.8136,0.2827
gen_enron,80,23.5121,0.2793
gen_enron,81,23.2183,0.276
gen_enron,82,22.9316,0.2727
gen_enron,83,22.652,0.2695
gen_enron,84,22.3791,0.2664
gen_enron,85,22.1127,0.2634
gen_enron,86,21.8525,0.2604
gen_enron,87,21.5984,0.2575
gen_enron,88,21.3502,0.2547
gen_enron,89,21.1075,0.2519
gen_enron,90,20.8704,0.2492
gen_enron,91,20.6385,0.2465
gen_enron,92,20.4117,0.2439
gen_enron,93,20.1898,0.2413
gen_enron,94,19.9727,0.2388
gen_enron,95,19.7603,0.2364
gen_enron,96,19.5522,0.234
gen_enron,97,19.3486,0.2317
gen_enron,98,19.1491,0.2293
gen_enron,99,18.9537,0.2271
gen_enron,100,18.7623,0.2249
gen_enron,101,18.5746,0.2227
gen_enron,102,18.3907,0.2206
gen_enron,103,18.2104,0.2185
gen_enron,104,18.0336,0.2164
gen_enron,105,17.8602,0.2144
gen_enron,106,17.6901,0.2125
gen_enron,107,17.5232,0.2105
gen_enron,108,17.3595,0.2086
gen_enron,109,17.1987,0.2067
gen_enron,110,17.0409,0.2049
gen_enron,111,16.886,0.2031
gen_enron,112,16.7339,0.2013
gen_enron,113,16.5845,0.1996
gen_enron,114,16.4377,0.1979
gen_enron,115,16.2935,0.1962
gen_enron,116,16.1519,0.1945
gen_enron,117,16.0126,0.1929
gen_enron,118,15.8758,0.1913
gen_enron,119,15.7412,0.1897
gen_enron,120,15.6089,0.1882
gen_enron,121,15.4789,0.1867
gen_enron,122,15.3509,0.1852
gen_enron,123,15.2251,0.1837
gen_enron,124,15.1013,0.1822
gen_enron,125,14.9795,0.1808
