File,Gamma,dec,time_list_pos_m,decTotal,varDEC
gen_enron,2,0.0021,0.0046,0.0067,14.5385
gen_enron,3,0.0017,0.004,0.0057,8.8591
gen_enron,4,0.0014,0.0036,0.005,6.4588
gen_enron,5,0.0012,0.0033,0.0045,5.0956
gen_enron,6,0.0011,0.0029,0.004,4.2094
gen_enron,7,0.001,0.0026,0.0036,3.5851
gen_enron,8,0.0009,0.0024,0.0033,3.1207
gen_enron,9,0.0008,0.0022,0.003,2.7619
gen_enron,10,0.0007,0.0021,0.0028,2.4761
gen_enron,11,0.0007,0.002,0.0026,2.2431
gen_enron,12,0.0006,0.0019,0.0025,2.0495
gen_enron,13,0.0006,0.0018,0.0023,1.8861
gen_enron,14,0.0005,0.0017,0.0022,1.7465
gen_enron,15,0.0005,0.0016,0.0021,1.6259
gen_enron,16,0.0005,0.0015,0.002,1.5205
gen_enron,17,0.0004,0.0014,0.0019,1.4279
gen_enron,18,0.0004,0.0014,0.0018,1.3456
gen_enron,19,0.0004,0.0013,0.0017,1.2723
gen_enron,20,0.0004,0.0013,0.0016,1.2064
gen_enron,21,0.0004,0.0012,0.0016,1.1469
gen_enron,22,0.0004,0.0012,0.0015,1.093
gen_enron,23,0.0003,0.0011,0.0015,1.0438
gen_enron,24,0.0003,0.0011,0.0014,0.9989
gen_enron,25,0.0003,0.001,0.0014,0.9576
gen_enron,26,0.0003,0.001,0.0013,0.9196
gen_enron,27,0.0003,0.001,0.0013,0.8845
gen_enron,28,0.0003,0.0009,0.0012,0.8519
gen_enron,29,0.0003,0.0009,0.0012,0.8216
gen_enron,30,0.0003,0.0009,0.0012,0.7934
gen_enron,31,0.0003,0.0009,0.0011,0.7671
gen_enron,32,0.0003,0.0008,0.0011,0.7424
gen_enron,33,0.0002,0.0008,0.0011,0.7193
gen_enron,34,0.0002,0.0008,0.001,0.6976
gen_enron,35,0.0002,0.0008,0.001,0.6771
gen_enron,36,0.0002,0.0008,0.001,0.6578
gen_enron,37,0.0002,0.0007,0.001,0.6396
gen_enron,38,0.0002,0.0007,0.0009,0.6223
gen_enron,39,0.0002,0.0007,0.0009,0.606
gen_enron,40,0.0002,0.0007,0.0009,0.5904
gen_enron,41,0.0002,0.0007,0.0009,0.5757
gen_enron,42,0.0002,0.0007,0.0008,0.5617
gen_enron,43,0.0002,0.0006,0.0008,0.5483
gen_enron,44,0.0002,0.0006,0.0008,0.5356
gen_enron,45,0.0002,0.0006,0.0008,0.5234
gen_enron,46,0.0002,0.0006,0.0008,0.5118
gen_enron,47,0.0002,0.0006,0.0008,0.5007
gen_enron,48,0.0002,0.0006,0.0007,0.49
gen_enron,49,0.0002,0.0006,0.0007,0.4798
gen_enron,50,0.0002,0.0006,0.0007,0.47
gen_enron,51,0.0002,0.0005,0.0007,0.4606
gen_enron,52,0.0002,0.0005,0.0007,0.4516
gen_enron,53,0.0002,0.0005,0.0007,0.4429
gen_enron,54,0.0002,0.0005,0.0007,0.4346
gen_enron,55,0.0001,0.0005,0.0006,0.4265
gen_enron,56,0.0001,0.0005,0.0006,0.4188
gen_enron,57,0.0001,0.0005,0.0006,0.4113
gen_enron,58,0.0001,0.0005,0.0006,0.4041
gen_enron,59,0.0001,0.0005,0.0006,0.3971
gen_enron,60,0.0001,0.0005,0.0006,0.3904
gen_enron,61,0.0001,0.0005,0.0006,0.3839
gen_enron,62,0.0001,0.0004,0.0006,0.3776
gen_enron,63,0.0001,0.0004,0.0006,0.3715
gen_enron,64,0.0001,0.0004,0.0006,0.3656
gen_enron,65,0.0001,0.0004,0.0005,0.3599
gen_enron,66,0.0001,0.0004,0.0005,0.3543
gen_enron,67,0.0001,0.0004,0.0005,0.349
gen_enron,68,0.0001,0.0004,0.0005,0.3438
gen_enron,69,0.0001,0.0004,0.0005,0.3387
gen_enron,70,0.0001,0.0004,0.0005,0.3338
gen_enron,71,0.0001,0.0004,0.0005,0.329
gen_enron,72,0.0001,0.0004,0.0005,0.3244
gen_enron,73,0.0001,0.0004,0.0005,0.3199
gen_enron,74,0.0001,0.0004,0.0005,0.3155
gen_enron,75,0.0001,0.0004,0.0005,0.3112
gen_enron,76,0.0001,0.0004,0.0005,0.3071
gen_enron,77,0.0001,0.0004,0.0005,0.303
gen_enron,78,0.0001,0.0004,0.0005,0.2991
gen_enron,79,0.0001,0.0003,0.0005,0.2953
gen_enron,80,0.0001,0.0003,0.0004,0.2915
gen_enron,81,0.0001,0.0003,0.0004,0.2879
gen_enron,82,0.0001,0.0003,0.0004,0.2843
gen_enron,83,0.0001,0.0003,0.0004,0.2809
gen_enron,84,0.0001,0.0003,0.0004,0.2775
gen_enron,85,0.0001,0.0003,0.0004,0.2742
gen_enron,86,0.0001,0.0003,0.0004,0.271
gen_enron,87,0.0001,0.0003,0.0004,0.2678
gen_enron,88,0.0001,0.0003,0.0004,0.2647
gen_enron,89,0.0001,0.0003,0.0004,0.2617
gen_enron,90,0.0001,0.0003,0.0004,0.2588
gen_enron,91,0.0001,0.0003,0.0004,0.2559
gen_enron,92,0.0001,0.0003,0.0004,0.2531
gen_enron,93,0.0001,0.0003,0.0004,0.2503
gen_enron,94,0.0001,0.0003,0.0004,0.2477
gen_enron,95,0.0001,0.0003,0.0004,0.245
gen_enron,96,0.0001,0.0003,0.0004,0.2424
gen_enron,97,0.0001,0.0003,0.0004,0.2399
gen_enron,98,0.0001,0.0003,0.0004,0.2374
gen_enron,99,0.0001,0.0003,0.0004,0.235
gen_enron,100,0.0001,0.0003,0.0004,0.2326
gen_enron,101,0.0001,0.0003,0.0004,0.2303
gen_enron,102,0.0001,0.0003,0.0003,0.228
gen_enron,103,0.0001,0.0003,0.0003,0.2258
gen_enron,104,0.0001,0.0003,0.0003,0.2236
gen_enron,105,0.0001,0.0003,0.0003,0.2215
gen_enron,106,0.0001,0.0003,0.0003,0.2193
gen_enron,107,0.0001,0.0003,0.0003,0.2173
gen_enron,108,0.0001,0.0003,0.0003,0.2152
gen_enron,109,0.0001,0.0003,0.0003,0.2133
gen_enron,110,0.0001,0.0002,0.0003,0.2113
gen_enron,111,0.0001,0.0002,0.0003,0.2094
gen_enron,112,0.0001,0.0002,0.0003,0.2075
gen_enron,113,0.0001,0.0002,0.0003,0.2056
gen_enron,114,0.0001,0.0002,0.0003,0.2038
gen_enron,115,0.0001,0.0002,0.0003,0.202
gen_enron,116,0.0001,0.0002,0.0003,0.2003
gen_enron,117,0.0001,0.0002,0.0003,0.1985
gen_enron,118,0.0001,0.0002,0.0003,0.1969
gen_enron,119,0.0001,0.0002,0.0003,0.1952
gen_enron,120,0.0001,0.0002,0.0003,0.1935
