File,Gamma,G_edges,LS,varLS
gen_enron,2,2397.528,345.072,104033.3143
gen_enron,3,1932.4,263.189,82428.1828
gen_enron,4,1615.6167,212.8857,74360.3738
gen_enron,5,1385.623,178.421,70329.6728
gen_enron,6,1211.3778,153.3568,67948.1998
gen_enron,7,1074.8898,134.3495,66382.6963
gen_enron,8,965.042,119.4334,65285.8535
gen_enron,9,874.8134,107.4111,64479.6581
gen_enron,10,799.473,97.4897,63867.214
gen_enron,11,735.7118,89.1922,63388.7544
gen_enron,12,681.0885,82.1401,63006.3126
gen_enron,13,633.8164,76.0784,62695.2303
gen_enron,14,592.5296,70.827,62437.4372
gen_enron,15,556.1656,66.234,62220.6874
gen_enron,16,523.9007,62.183,62037.6339
gen_enron,17,495.0863,58.5847,61881.3935
gen_enron,18,469.2,55.3699,61747.0294
gen_enron,19,445.8213,52.4815,61630.4966
gen_enron,20,424.6029,49.8749,61528.6373
gen_enron,21,405.2597,47.5099,61439.3273
gen_enron,22,387.556,45.3552,61360.7617
gen_enron,23,371.2924,43.384,61291.4363
gen_enron,24,356.3019,41.5747,61229.9893
gen_enron,25,342.4404,39.9089,61175.3981
gen_enron,26,329.5851,38.3698,61126.9342
gen_enron,27,317.6308,36.9427,61083.9812
gen_enron,28,306.4869,35.6166,61045.7855
gen_enron,29,296.0743,34.3816,61011.7809
gen_enron,30,13.304,0.935,2.6183
gen_enron,31,12.58,0.885,2.5171
gen_enron,32,11.9107,0.8423,2.419
gen_enron,33,11.2892,0.801,2.3479
gen_enron,34,10.7132,0.7624,2.2994
gen_enron,35,10.1778,0.7265,2.2646
gen_enron,36,9.6787,0.6931,2.2449
gen_enron,37,9.2127,0.6624,2.2322
gen_enron,38,8.7778,0.6339,2.2249
gen_enron,39,8.3719,0.608,2.2221
gen_enron,40,7.993,0.5835,2.2279
gen_enron,41,7.6392,0.5608,2.2352
gen_enron,42,7.3088,0.5399,2.2409
gen_enron,43,6.9997,0.5204,2.2486
gen_enron,44,6.71,0.5018,2.2586
gen_enron,45,6.4383,0.4841,2.2685
gen_enron,46,6.1835,0.4674,2.2781
gen_enron,47,5.9441,0.4514,2.2869
gen_enron,48,5.7191,0.4362,2.296
gen_enron,49,5.5072,0.4219,2.3042
gen_enron,50,5.3074,0.4084,2.3113
gen_enron,51,5.1187,0.3956,2.3178
gen_enron,52,4.9405,0.3832,2.3247
gen_enron,53,4.7722,0.3714,2.3308
gen_enron,54,4.6132,0.3602,2.336
gen_enron,55,4.4627,0.3495,2.3406
gen_enron,56,4.3201,0.3392,2.3446
gen_enron,57,4.1852,0.3294,2.3482
gen_enron,58,4.0573,0.3199,2.3516
gen_enron,59,3.9362,0.3108,2.3547
gen_enron,60,3.8213,0.3022,2.3572
gen_enron,61,3.7122,0.2941,2.3596
gen_enron,62,3.6085,0.2864,2.3616
gen_enron,63,3.5096,0.279,2.3631
gen_enron,64,3.4155,0.2718,2.3643
gen_enron,65,3.3258,0.2649,2.3653
gen_enron,66,3.2403,0.2583,2.3662
gen_enron,67,3.1588,0.2519,2.367
gen_enron,68,3.081,0.2459,2.3678
gen_enron,69,3.0067,0.2402,2.3684
gen_enron,70,2.9357,0.2347,2.369
gen_enron,71,2.8676,0.2294,2.3694
gen_enron,72,2.8024,0.2243,2.3699
gen_enron,73,2.7399,0.2195,2.3703
gen_enron,74,2.68,0.2148,2.3708
gen_enron,75,2.6224,0.2103,2.3712
gen_enron,76,2.5671,0.206,2.3715
gen_enron,77,2.5139,0.2019,2.3717
gen_enron,78,2.4628,0.1978,2.3718
gen_enron,79,2.4137,0.1939,2.3719
gen_enron,80,2.3665,0.1901,2.3719
gen_enron,81,2.321,0.1865,2.372
