File,Gamma,|V|,|T|,|E|,G_edges,LS,varLS
gen_enron,2,150.0,74.048,5092.933,3.0556,0.1251,104033.3143
gen_enron,3,150.0,74.048,5092.933,2.8771,0.087,82428.1828
gen_enron,4,150.0,74.048,5092.933,2.8025,0.0663,74360.3738
gen_enron,5,150.0,74.048,5092.933,2.7637,0.0535,70329.6728
gen_enron,6,150.0,74.048,5092.933,2.7414,0.0448,67948.1998
gen_enron,7,150.0,74.048,5092.933,2.7282,0.0386,66382.6963
gen_enron,8,150.0,74.048,5092.933,2.7218,0.0339,65285.8535
gen_enron,9,150.0,74.048,5092.933,2.7187,0.0302,64479.6581
gen_enron,10,150.0,74.048,5092.933,2.7182,0.0273,63867.214
gen_enron,11,150.0,74.048,5092.933,2.7175,0.0249,63388.7544
gen_enron,12,150.0,74.048,5092.933,2.7109,0.0229,63006.3126
gen_enron,13,150.0,74.048,5092.933,2.7001,0.0211,62695.2303
gen_enron,14,150.0,74.048,5092.933,2.6858,0.0197,62437.4372
gen_enron,15,150.0,74.048,5092.933,2.6703,0.0184,62220.6874
gen_enron,16,150.0,74.048,5092.933,2.6534,0.0173,62037.6339
gen_enron,17,150.0,74.048,5092.933,2.6353,0.0163,61881.3935
gen_enron,18,150.0,74.048,5092.933,2.6171,0.0154,61747.0294
gen_enron,19,150.0,74.048,5092.933,2.5987,0.0146,61630.4966
gen_enron,20,150.0,74.048,5092.933,2.58,0.0138,61528.6373
gen_enron,21,150.0,74.048,5092.933,2.5616,0.0132,61439.3273
gen_enron,22,150.0,74.048,5092.933,2.5431,0.0126,61360.7617
gen_enron,23,150.0,74.048,5092.933,2.5247,0.012,61291.4363
gen_enron,24,150.0,74.048,5092.933,2.5065,0.0115,61229.9893
gen_enron,25,150.0,74.048,5092.933,2.4884,0.0111,61175.3981
gen_enron,26,150.0,74.048,5092.933,2.471,0.0106,61126.9342
gen_enron,27,150.0,74.048,5092.933,2.4539,0.0102,61083.9812
gen_enron,28,150.0,74.048,5092.933,2.437,0.0099,61045.7855
gen_enron,29,150.0,74.048,5092.933,2.4203,0.0095,61011.7809
gen_enron,30,150.0,74.048,5092.933,1.9355,0.0002,2.6183
